
                     660707       660714       660721       660728       660804       660811       660817       660826      
                     P6             P6           P6           P6           P6           P6           P6           P6        
   N OF CASES        20                 20           20           20           20           20           36           20    
   MINIMUM             21.000       21.000       25.000       26.000       26.000       27.000       22.000       27.000    
   MAXIMUM             36.000       39.000       42.000       43.000       45.000       45.000       47.000       44.000    
   RANGE               15.000       18.000       17.000       17.000       19.000       18.000       25.000       17.000    
   MEAN                25.200       26.850       30.100       31.900       33.400       34.000       33.056       33.950    
   VARIANCE            18.168       24.029       22.516       22.937       23.937       22.211       30.340       17.839    
   STANDARD DEV         4.262        4.902        4.745        4.789        4.893        4.713        5.508        4.224    
   STD. ERROR           0.953        1.096        1.061        1.071        1.094        1.054        0.918        0.944    
   SKEWNESS(G1)         1.406        1.182        1.380        0.948        0.770        0.975        0.645        0.977    
   KURTOSIS(G2)         1.124        0.466        0.861        0.215        0.262        0.280        0.412        0.471    
   SUM                504.000      537.000      602.000      638.000      668.000      680.000     1190.000      679.000    
   C.V.                 0.169        0.183        0.158        0.150        0.146        0.139        0.167        0.124    
   MEDIAN              23.500       25.500       28.000       31.000       32.500       33.500       32.000       33.000    
                                                                                                                            
