
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P61          P61          P61          P61          P61          P61          P61          P61                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             12.000       14.000       15.000       15.000       17.000       19.000       20.000       18.000                 
   MAXIMUM             19.000       18.000       21.000       22.000       23.000       24.000       25.000       25.000                 
   RANGE                7.000        4.000        6.000        7.000        6.000        5.000        5.000        7.000                 
   MEAN                15.750       16.250       17.800       18.100       19.350       21.450       22.350       21.806                 
   VARIANCE             3.671        2.092        2.168        2.726        2.871        1.208        1.608        2.961                 
   STANDARD DEV         1.916        1.446        1.473        1.651        1.694        1.099        1.268        1.721                 
   STD. ERROR           0.428        0.323        0.329        0.369        0.379        0.246        0.284        0.287                 
   SKEWNESS(G1)        -0.233       -0.448        0.252        0.269        0.232        0.008       -0.051       -0.036                 
   KURTOSIS(G2)        -0.820       -1.138       -0.361       -0.019       -0.504        0.567       -0.151       -0.411                 
   SUM                315.000      325.000      356.000      362.000      387.000      429.000      447.000      785.000                 
   C.V.                 0.122        0.089        0.083        0.091        0.088        0.051        0.057        0.079                 
   MEDIAN              16.000       17.000       17.500       18.000       19.500       21.500       22.000       22.000      no data    
                                                                                                                                         
