
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P33          P33          P33          P33          P33          P33          P33          P33          P33          P33          P33          no data      P33        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000        9.000       14.000       16.000       21.000       20.000       25.000       27.000       27.000       27.000       30.000                   26.000    
   MAXIMUM             11.000       19.000       27.000       30.000       34.000       37.000       40.000       40.000       42.000       45.000       46.000                   43.000    
   RANGE               11.000       10.000       13.000       14.000       13.000       17.000       15.000       13.000       15.000       18.000       16.000                   17.000    
   MEAN                 5.700       14.750       20.850       24.800       28.800       29.900       32.950       35.100       35.000       36.900       35.972                   33.650    
   VARIANCE            11.589        9.566       14.871       17.221       10.800       13.568       16.155       13.884       14.211       14.200       10.313                   17.082    
   STANDARD DEV         3.404        3.093        3.856        4.150        3.286        3.684        4.019        3.726        3.770        3.768        3.211                    4.133    
   STD. ERROR           0.761        0.692        0.862        0.928        0.735        0.824        0.899        0.833        0.843        0.843        0.535                    0.924    
   SKEWNESS(G1)        -0.385       -0.395       -0.459       -0.707       -0.649       -0.709       -0.282       -0.463       -0.097       -0.374        0.598                    0.210    
   KURTOSIS(G2)        -1.033       -1.071       -0.811       -0.412        0.019        1.103       -0.724       -0.674       -0.503        1.121        1.221                   -0.003    
   SUM                114.000      295.000      417.000      496.000      576.000      598.000      659.000      702.000      700.000      738.000     1295.000                  673.000    
   C.V.                 0.597        0.210        0.185        0.167        0.114        0.123        0.122        0.106        0.108        0.102        0.089                    0.123    
   MEDIAN               6.500       15.500       22.000       25.500       29.000       30.000       33.000       34.500       35.000       36.500       36.000                   34.000    
                                                                                                                                                                                             
