
  Date    37-1     37-2     37-3     40-1     40-2     44-1     44-2       BR
10/02/63     0        5       11        1       12        1        3
10/05/63     0        2       15        3       15        2        2        2
10/08/63     0        2       12        2       14       15        3
10/09/63     0        2       14        2       17        2        7
10/10/63     2        7       16        2       24        4        8
10/11/63     1        6       14        5       22        2       10
10/12/63     1        8       24        5       22        3       22       13
10/14/63     1        7       11        2       13        2       16
10/15/63     1        5       15        4       20        3       12
10/16/63     1        5       13        2       14        2       13
10/17/63     1        7       15        3       14        2       15
10/18/63    10       16       24       16       18       20       20
10/19/63     6       16       23        9       15       13       23
10/20/63     1        8       15
10/21/63     0        6       12        6       18        6       12
10/22/63     0        2       12        7       15        0       14
10/23/63     1        4       12        5       10        0       13
10/24/63     1        4       12        5       10        0       13
10/25/63     0        5       12        5       18        2       12
10/26/63     3        5       15        8       22        4       16        0
10/27/63     3        9       18        7       24        4       10
10/28/63     3        7       14        6       19        4       18
10/29/63     3        7       14        6       18        4       16
10/30/63     2        8       10        5       20        3       13
10/31/63     1        3       12        6       18        0       14
11/01/63     0        2       10        4       13        2       14
11/02/63     0        3        7        0        4        4        8
11/03/63     0        2       12        3       10        2       13
11/04/63     1        4       13        4       14        2       19
11/05/63     1        2       10        5       12        2       10         
11/06/63     1        5       12        5       14        3       18
11/07/63     2        8       13        5       14        5       20
11/08/63     2        7       13        5       13        4       27
11/09/63     2        7       13        5       13        5       28
11/10/63     2        7       13        5       13        5       28
11/11/63     4       10       17        5       12        4       25
11/12/63     3        7       15       13       19        4       25
11/14/63     0        8       15       12       16        1       22
11/15/63     0        7       15       12       17        2       19
11/16/63     0        7       15       12       16        2       20
11/17/63     0        7       15       12       17        2       19
11/18/63     0        8       15       13       16        2       20
11/19/63     0        8       15       13       17        2       20
11/20/63     0        8       15       13       16        2       20
11/21/63     1        8       15       13       16        2       19
11/22/63     1        8       15       13       16        2       20
11/23/63     1        8       15       13       16        2       20
11/24/63     1       11       16       12       17        3       18
11/25/63     1       11       16       12       17        3       18
11/26/63     1       11       16       12       17        3       18
11/27/63     0        7       16       12       16        5       18
11/28/63     1       10       16       13       15        3       20
11/29/63     1       10       16       13       15        3       20
11/30/63     1        9       16       12       15        3       19
12/05/63     1       12       14       12       17        3       22
12/12/63     3        9       15       12       17        5       22
12/20/63     2        7       14       11       17       40       40
12/27/63     2        8       16       11       11       38       38        3
 2/22/64    19       21       31       44       42       43       43
 2/29/64    10       19       32       40       31       39       39
 3/05/64     6       17       32       38       38       36       36
 4/04/64    10       19       35       42       52       37       40
 4/11/64     9       18       36       44       41       46       36
 4/18/64     9       21       35       44       45       37       39
 4/26/64    10       16       34       50       50       40       50
 5/16/64    22       30       42       68       64       42       54
 5/23/64    20       32       44       68       70       48       53
 5/30/64    22       24       34       53       53       36       40        0
 6/03/64     5       14       24       34       45       20       22
 6/06/64     3       12       21       30       33       17       24
 6/07/64     0        5       14
10/10/64     2        2        2        2        2        2        2
10/17/64     3        3        3        3        3        3        3
10/23/64     1        5        7        2        7        4        7
10/31/64    10       14       17       18       17       19       19
