
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P26          P26          no data    
   N OF CASES                                                                                                                                                36           36          
   MINIMUM                                                                                                                                               23.000       23.000          
   MAXIMUM                                                                                                                                               35.000       35.000          
   RANGE                                                                                                                                                 12.000       12.000           
   MEAN                                                                                                                                                  29.833       29.833          
   VARIANCE                                                                                                                                               8.314        8.314           
   STANDARD DEV                                                                                                                                           2.883        2.883           
   STD. ERROR                                                                                                                                             0.481        0.481           
   SKEWNESS(G1)                                                                                                                                          -0.129       -0.129           
   KURTOSIS(G2)                                                                                                                                          -0.228       -0.228          
   SUM                                                                                                                                                 1074.000     1074.000         
   C.V.                                                                                                                                                   0.097        0.097         
   MEDIAN                                                                                                                                                29.500       29.500         
                                                                                                                                                                                             
