
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P44          P44          P44          P44          P44          P44          P44          P44          P44          P44          P44          no data      P44        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000        5.000       11.000       18.000       21.000       21.000       26.000       27.000       29.000       30.000       28.000                   22.000    
   MAXIMUM             18.000       33.000       39.000       41.000       44.000       45.000       48.000       49.000       52.000       54.000       52.000                   49.000    
   RANGE               18.000       28.000       28.000       23.000       23.000       24.000       22.000       22.000       23.000       24.000       24.000                   27.000    
   MEAN                 6.100       16.500       24.650       28.100       31.400       32.150       34.400       36.500       37.600       39.000       37.833                   33.600    
   VARIANCE            32.411       67.526       69.187       59.779       45.095       49.713       43.621       42.895       36.253       35.263       33.057                   59.516    
   STANDARD DEV         5.693        8.217        8.318        7.732        6.715        7.051        6.605        6.549        6.021        5.938        5.750                    7.715    
   STD. ERROR           1.273        1.837        1.860        1.729        1.502        1.577        1.477        1.464        1.346        1.328        0.958                    1.725    
   SKEWNESS(G1)         0.640        0.481        0.175        0.530        0.446        0.411        0.757        0.638        0.742        0.647        0.623                    0.603    
   KURTOSIS(G2)        -0.645       -0.923       -1.002       -1.100       -0.936       -0.987       -0.598       -0.874       -0.132        0.129       -0.068                   -0.573    
   SUM                122.000      330.000      493.000      562.000      628.000      643.000      688.000      730.000      752.000      780.000     1362.000                  672.000    
   C.V.                 0.933        0.498        0.337        0.275        0.214        0.219        0.192        0.179        0.160        0.152        0.152                    0.230    
   MEDIAN               6.000       15.000       23.500       25.500       29.000       31.000       32.000       34.000       36.000       38.500       37.500                   31.500    
                                                                                                                                                                                             
