
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                       P6           P6           P6           P6           P6           P6           P6           P6           P6           P6           P6          no data       P6        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                        20    
   MINIMUM              7.000       12.000       15.000       19.000       21.000       22.000       23.000       27.000       29.000       30.000       24.000                    25.000    
   MAXIMUM             21.000       34.000       36.000       39.000       40.000       41.000       46.000       48.000       46.000       47.000       50.000                    42.000    
   RANGE               14.000       22.000       21.000       20.000       19.000       19.000       23.000       21.000       17.000       17.000       26.000                    17.000    
   MEAN                13.700       21.250       23.900       25.400       27.550       28.800       32.450       34.450       34.650       35.550       33.972                    30.650    
   VARIANCE            18.011       35.039       34.621       33.095       32.682       25.747       30.787       33.208       27.187       24.471       30.599                    25.082    
   STANDARD DEV         4.244        5.919        5.884        5.753        5.717        5.074        5.549        5.763        5.214        4.947        5.532                     5.008    
   STD. ERROR           0.949        1.324        1.316        1.286        1.278        1.135        1.241        1.289        1.166        1.106        0.922                     1.120    
   SKEWNESS(G1)         0.243        0.384        0.952        1.272        1.076        1.186        0.949        0.928        0.879        0.900        0.817                     0.664    
   KURTOSIS(G2)        -1.183       -0.661       -0.142        0.365        0.063        0.633        0.544        0.159       -0.255       -0.063        0.927                    -0.544    
   SUM                274.000      425.000      478.000      508.000      551.000      576.000      649.000      689.000      693.000      711.000     1223.000                   613.000    
   C.V.                 0.310        0.279        0.246        0.226        0.208        0.176        0.171        0.167        0.150        0.139        0.163                     0.163    
   MEDIAN              12.500       19.500       22.000       23.000       26.000       27.000       31.000       32.000       33.500       34.500       34.000                    29.500    
                                                                                                                                                                                             
