
                     660707       660714       660721       660728       660804       660811       660817       660826      
                     P5             P5           P5           P5           P5           P5           P5           P5        
   N OF CASES        20                 20           20           20           20           20           36           20    
   MINIMUM             21.000       24.000       25.000       29.000       30.000       31.000       25.000       31.000    
   MAXIMUM             41.000       45.000       46.000       50.000       49.000       50.000       49.000       48.000    
   RANGE               20.000       21.000       21.000       21.000       19.000       19.000       24.000       17.000    
   MEAN                29.450       31.700       34.850       36.800       38.450       38.600       35.833       37.950    
   VARIANCE            41.945       37.274       40.766       41.853       36.261       34.989       32.943       32.155    
   STANDARD DEV         6.476        6.105        6.385        6.469        6.022        5.915        5.740        5.671    
   STD. ERROR           1.448        1.365        1.428        1.447        1.346        1.323        0.957        1.268    
   SKEWNESS(G1)         0.408        0.633        0.251        0.417        0.208        0.357        0.531        0.389    
   KURTOSIS(G2)        -1.185       -0.638       -1.176       -1.108       -1.303       -1.147       -0.604       -1.247    
   SUM                589.000      634.000      697.000      736.000      769.000      772.000     1290.000      759.000    
   C.V.                 0.220        0.193        0.183        0.176        0.157        0.153        0.160        0.149    
   MEDIAN              28.500       29.500       33.500       36.000       37.500       38.000       33.500       36.500    
                                                                                                                            
