
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                       P2           P2           P2           P2           P2           P2           P2           P2           P2        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM             12.000       12.000       12.000       14.000       18.000       17.000       19.000       21.000       22.000    
   MAXIMUM             33.000       39.000       40.000       43.000       41.000       43.000       46.000       43.000       49.000    
   RANGE               21.000       27.000       28.000       29.000       23.000       26.000       27.000       22.000       27.000    
   MEAN                20.650       25.600       25.200       28.700       29.500       30.050       31.100       30.600       33.639    
   VARIANCE            29.082       41.726       39.221       45.484       30.789       40.050       37.674       32.568       39.437    
   STANDARD DEV         5.393        6.460        6.263        6.744        5.549        6.329        6.138        5.707        6.280    
   STD. ERROR           1.206        1.444        1.400        1.508        1.241        1.415        1.372        1.276        1.047    
   SKEWNESS(G1)         0.503       -0.096        0.112        0.141       -0.203        0.024        0.411        0.491        0.614    
   KURTOSIS(G2)        -0.228        0.499        0.729        0.402        0.492        0.052        0.415       -0.252       -0.071    
   SUM                413.000      512.000      504.000      574.000      590.000      601.000      622.000      612.000     1211.000    
   C.V.                 0.261        0.252        0.249        0.235        0.188        0.211        0.197        0.186        0.187    
   MEDIAN              19.000       25.000       24.500       27.500       29.500       29.000       30.000       29.500       33.000    
                                                                                                                                         
