
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P36          P36          P36          P36          P36          P36          P36          P36        
   N OF CASES              20           20           20           20           20           20           36            0    
   MINIMUM             17.000       23.000       24.000       27.000       28.000       28.000       27.000         .       
   MAXIMUM             28.000       34.000       35.000       37.000       39.000       39.000       39.000         .       
   RANGE               11.000       11.000       11.000       10.000       11.000       11.000       12.000         .       
   MEAN                22.650       26.850       28.550       30.650       32.150       32.750       32.194         .       
   VARIANCE             8.555        9.082        9.734        7.503        9.713       10.303       11.190         .       
   STANDARD DEV         2.925        3.014        3.120        2.739        3.117        3.210        3.345         .       
   STD. ERROR           0.654        0.674        0.698        0.612        0.697        0.718        0.558         .       
   SKEWNESS(G1)        -0.176        0.763        0.303        0.456        0.563        0.369        0.307         .       
   KURTOSIS(G2)        -0.772       -0.229       -0.765       -0.348       -0.368       -0.951       -0.863         .       
   SUM                453.000      537.000      571.000      613.000      643.000      655.000     1159.000         .       
   C.V.                 0.129        0.112        0.109        0.089        0.097        0.098        0.104         .       
   MEDIAN              22.500       26.500       28.000       30.500       32.000       32.000       32.000         .       
                                                                                                                            
