
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P59          P59          P59          P59          P59          P59          P59          P59        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             12.000       15.000       18.000       19.000       21.000       20.000       21.000       20.000    
   MAXIMUM             25.000       28.000       32.000       32.000       36.000       35.000       37.000       35.000    
   RANGE               13.000       13.000       14.000       13.000       15.000       15.000       16.000       15.000    
   MEAN                17.750       21.950       24.700       25.650       27.600       27.950       28.361       27.600    
   VARIANCE            11.039       10.576       11.800       12.134       14.884       13.418        8.980       14.568    
   STANDARD DEV         3.323        3.252        3.435        3.483        3.858        3.663        2.997        3.817    
   STD. ERROR           0.743        0.727        0.768        0.779        0.863        0.819        0.499        0.853    
   SKEWNESS(G1)         0.631       -0.001        0.469        0.332        0.617        0.173        0.615        0.159    
   KURTOSIS(G2)         0.103       -0.103        0.142       -0.311       -0.039        0.033        1.466       -0.338    
   SUM                355.000      439.000      494.000      513.000      552.000      559.000     1021.000      552.000    
   C.V.                 0.187        0.148        0.139        0.136        0.140        0.131        0.106        0.138    
   MEDIAN              17.000       22.000       24.000       25.500       27.000       28.000       28.000       27.500    
                                                                                                                            
