
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data       P2           P2          no data    
   N OF CASES                                                                                                                                                36           36          
   MINIMUM                                                                                                                                               31.000       31.000          
   MAXIMUM                                                                                                                                               51.000       51.000          
   RANGE                                                                                                                                                 20.000       20.000          
   MEAN                                                                                                                                                  38.639       38.639           
   VARIANCE                                                                                                                                              25.780       25.780          
   STANDARD DEV                                                                                                                                           5.077        5.077          
   STD. ERROR                                                                                                                                             0.846        0.846          
   SKEWNESS(G1)                                                                                                                                           0.454        0.454           
   KURTOSIS(G2)                                                                                                                                          -0.596       -0.596          
   SUM                                                                                                                                                 1391.000     1391.000        
   C.V.                                                                                                                                                   0.131        0.131         
   MEDIAN                                                                                                                                                38.000       38.000        
                                                                                                                                                                                             
