
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P40          P40          P40          P40          P40          P40          P40          P40        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             16.000       19.000       21.000       23.000       24.000       23.000       23.000       25.000    
   MAXIMUM             35.000       44.000       52.000       50.000       52.000       51.000       54.000       53.000    
   RANGE               19.000       25.000       31.000       27.000       28.000       28.000       31.000       28.000    
   MEAN                21.800       26.750       29.350       30.000       32.850       32.100       33.778       33.900    
   VARIANCE            38.589       59.355       76.555       66.737       64.555       59.568       61.778       67.358    
   STANDARD DEV         6.212        7.704        8.750        8.169        8.035        7.718        7.860        8.207    
   STD. ERROR           1.389        1.723        1.956        1.827        1.797        1.726        1.310        1.835    
   SKEWNESS(G1)         1.361        1.317        1.359        1.413        1.167        1.134        1.253        1.147    
   KURTOSIS(G2)         0.554        0.535        0.819        0.780        0.302        0.454        0.625        0.167    
   SUM                436.000      535.000      587.000      600.000      657.000      642.000     1216.000      678.000    
   C.V.                 0.285        0.288        0.298        0.272        0.245        0.240        0.233        0.242    
   MEDIAN              19.000       24.500       26.500       27.000       31.000       29.500       31.000       30.500    
                                                                                                                            
