
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P26          P26          P26          P26          P26          P26          P26          P26                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             18.000       19.000       19.000       20.000       21.000       24.000       26.000       23.000                 
   MAXIMUM             27.000       31.000       32.000       31.000       33.000       35.000       36.000       35.000                 
   RANGE                9.000       12.000       13.000       11.000       12.000       11.000       10.000       12.000                 
   MEAN                21.250       23.600       23.850       25.200       25.850       29.000       30.650       28.139                 
   VARIANCE             5.776       10.042        9.608        7.642        6.766        9.684       10.450        7.552                 
   STANDARD DEV         2.403        3.169        3.100        2.764        2.601        3.112        3.233        2.748                 
   STD. ERROR           0.537        0.709        0.693        0.618        0.582        0.696        0.723        0.458                 
   SKEWNESS(G1)         1.145        1.161        0.894        0.370        0.942        0.667        0.295        0.406                 
   KURTOSIS(G2)         1.090        0.752        0.722       -0.523        1.337       -0.509       -1.167        0.043                 
   SUM                425.000      472.000      477.000      504.000      517.000      580.000      613.000     1013.000                 
   C.V.                 0.113        0.134        0.130        0.110        0.101        0.107        0.105        0.098                 
   MEDIAN              20.500       23.000       23.000       24.000       25.000       28.000       30.000       28.000      no data    
                                                                                                                                         
