
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P37          P37          P37          P37          P37          P37          P37          P37          P37          P37          P37          no data      P37        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              3.000       10.000       16.000       24.000       25.000       25.000       28.000       31.000       32.000       27.000       33.000                   29.000    
   MAXIMUM             22.000       29.000       34.000       39.000       40.000       43.000       45.000       50.000       50.000       51.000       52.000                   51.000    
   RANGE               19.000       19.000       18.000       15.000       15.000       18.000       17.000       19.000       18.000       24.000       19.000                   22.000    
   MEAN                 9.900       16.650       24.450       29.000       30.450       31.550       35.050       37.050       38.350       37.700       39.361                   37.250    
   VARIANCE            20.411       27.397       20.997       21.789       20.471       22.576       27.734       26.471       27.187       34.747       24.066                   38.829    
   STANDARD DEV         4.518        5.234        4.582        4.668        4.524        4.751        5.266        5.145        5.214        5.895        4.906                    6.231    
   STD. ERROR           1.010        1.170        1.025        1.044        1.012        1.062        1.178        1.150        1.166        1.318        0.818                    1.393    
   SKEWNESS(G1)         0.780        0.963        0.311        0.704        0.772        0.967        0.519        0.936        0.513        0.389        0.791                    0.697    
   KURTOSIS(G2)         1.005        0.077       -0.498       -0.715       -0.675        0.362       -0.818        0.133       -0.577       -0.202       -0.253                   -0.509    
   SUM                198.000      333.000      489.000      580.000      609.000      631.000      701.000      741.000      767.000      754.000     1417.000                  745.000    
   C.V.                 0.456        0.314        0.187        0.161        0.149        0.151        0.150        0.139        0.136        0.156        0.125                    0.167    
   MEDIAN               9.500       15.500       23.000       27.500       29.000       31.000       33.500       35.000       38.500       36.500       38.000                   36.000    
                                                                                                                                                                                             
