
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P31          P31          no data    
   N OF CASES                                                                                                                                                36           36           
   MINIMUM                                                                                                                                               21.000       21.000           
   MAXIMUM                                                                                                                                               41.000       41.000          
   RANGE                                                                                                                                                 20.000       20.000          
   MEAN                                                                                                                                                  30.306       30.306           
   VARIANCE                                                                                                                                              24.733       24.733           
   STANDARD DEV                                                                                                                                           4.973        4.973         
   STD. ERROR                                                                                                                                             0.829        0.829        
   SKEWNESS(G1)                                                                                                                                           0.108        0.108        
   KURTOSIS(G2)                                                                                                                                          -0.384       -0.384        
   SUM                                                                                                                                                 1091.000     1091.000        
   C.V.                                                                                                                                                   0.164        0.164        
   MEDIAN                                                                                                                                                31.000       31.000        
                                                                                                                                                                                             
