
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P22          P22          no data    
   N OF CASES                                                                                                                                                36           36                 
   MINIMUM                                                                                                                                               28.000       28.000           
   MAXIMUM                                                                                                                                               41.000       41.000           
   RANGE                                                                                                                                                 13.000       13.000           
   MEAN                                                                                                                                                  34.861       34.861           
   VARIANCE                                                                                                                                              11.209       11.209           
   STANDARD DEV                                                                                                                                           3.348        3.348           
   STD. ERROR                                                                                                                                             0.558        0.558          
   SKEWNESS(G1)                                                                                                                                          -0.276       -0.276           
   KURTOSIS(G2)                                                                                                                                          -0.916       -0.916           
   SUM                                                                                                                                                 1255.000     1255.000         
   C.V.                                                                                                                                                   0.096        0.096         
   MEDIAN                                                                                                                                                35.000       35.000         
                                                                                                                                                                                             
