
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P19          P19          P19          P19          P19          P19          P19          P19          P19          P19          P19          no data      P19        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000       14.000       19.000       25.000       27.000       28.000       31.000       31.000       33.000       36.000       36.000                   31.000    
   MAXIMUM             14.000       36.000       40.000       45.000       49.000       57.000       60.000       63.000       67.000       63.000       70.000                   65.000    
   RANGE               14.000       22.000       21.000       20.000       22.000       29.000       29.000       32.000       34.000       27.000       34.000                   34.000    
   MEAN                 7.650       23.150       29.000       33.550       36.800       39.550       44.100       45.800       48.200       49.750       53.056                   42.900    
   VARIANCE            15.397       40.134       41.368       43.313       48.800       65.313       84.937       84.168      120.168       92.618      101.597                   79.989    
   STANDARD DEV         3.924        6.335        6.432        6.581        6.986        8.082        9.216        9.174       10.962        9.624       10.080                    8.944    
   STD. ERROR           0.877        1.417        1.438        1.472        1.562        1.807        2.061        2.051        2.451        2.152        1.680                    2.000    
   SKEWNESS(G1)         0.060        0.472        0.281        0.209        0.260        0.346        0.204        0.229        0.254       -0.021       -0.004                    0.738    
   KURTOSIS(G2)        -0.730       -0.870       -1.244       -1.299       -1.254       -0.853       -1.231       -0.970       -1.189       -1.380       -1.186                    0.041    
   SUM                153.000      463.000      580.000      671.000      736.000      791.000      882.000      916.000      964.000      995.000     1910.000                  858.000    
   C.V.                 0.513        0.274        0.222        0.196        0.190        0.204        0.209        0.200        0.227        0.193        0.190                    0.208    
   MEDIAN               7.500       21.000       27.500       32.000       35.500       38.000       43.500       45.500       47.500       49.500       52.000                   42.500    
                                                                                                                                                                                             
