
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P22          P22          P22          P22          P22          P22          P22          P22        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             21.000       24.000       26.000       28.000       30.000       30.000       30.000       30.000    
   MAXIMUM             30.000       34.000       38.000       40.000       44.000       43.000       44.000       44.000    
   RANGE                9.000       10.000       12.000       12.000       14.000       13.000       14.000       14.000    
   MEAN                25.950       28.950       31.950       34.150       36.400       36.500       36.000       36.750    
   VARIANCE             7.945        9.734       13.103       12.029       18.147       14.368       14.000       16.934    
   STANDARD DEV         2.819        3.120        3.620        3.468        4.260        3.791        3.742        4.115    
   STD. ERROR           0.630        0.698        0.809        0.776        0.953        0.848        0.624        0.920    
   SKEWNESS(G1)        -0.295       -0.166       -0.198       -0.230        0.139       -0.071        0.259       -0.216    
   KURTOSIS(G2)        -0.953       -1.389       -1.116       -1.032       -1.159       -1.120       -0.908       -1.174    
   SUM                519.000      579.000      639.000      683.000      728.000      730.000     1296.000      735.000    
   C.V.                 0.109        0.108        0.113        0.102        0.117        0.104        0.104        0.112    
   MEDIAN              26.000       29.500       32.000       34.500       36.000       36.500       35.500       37.500    
                                                                                                                            
