
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P50          P50          P50          P50          P50          P50          P50          P50          P50          P50          P50          no data      P50        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              7.000       10.000       14.000       20.000       19.000       20.000       27.000       24.000       27.000       26.000       27.000                   22.000    
   MAXIMUM             34.000       40.000       43.000       45.000       47.000       47.000       49.000       54.000       71.000       56.000       60.000                   47.000    
   RANGE               27.000       30.000       29.000       25.000       28.000       27.000       22.000       30.000       44.000       30.000       33.000                   25.000    
   MEAN                16.250       27.600       29.550       30.800       33.650       32.950       36.750       37.900       40.250       41.050       41.278                   35.700    
   VARIANCE            57.039       57.832       49.945       49.326       50.661       43.629       46.724       55.463       87.355       48.155       42.949                   44.011    
   STANDARD DEV         7.552        7.605        7.067        7.023        7.118        6.605        6.835        7.447        9.346        6.939        6.554                    6.634    
   STD. ERROR           1.689        1.700        1.580        1.570        1.592        1.477        1.528        1.665        2.090        1.552        1.092                    1.483    
   SKEWNESS(G1)         0.784       -0.159       -0.023        0.239       -0.097        0.124        0.572        0.356        1.756        0.066        0.446                   -0.083    
   KURTOSIS(G2)        -0.292       -0.222       -0.268       -0.803       -0.713       -0.350       -0.849       -0.245        3.920       -0.114        0.539                   -0.649    
   SUM                325.000      552.000      591.000      616.000      673.000      659.000      735.000      758.000      805.000      821.000     1486.000                  714.000    
   C.V.                 0.465        0.276        0.239        0.228        0.212        0.200        0.186        0.197        0.232        0.169        0.159                    0.186    
   MEDIAN              14.000       27.000       29.000       30.500       34.000       33.500       34.500       37.000       38.500       39.500       41.000                   35.500    
                                                                                                                                                                                             
