
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data       P8           P8          no data    
   N OF CASES                                                                                                                                                36           36           
   MINIMUM                                                                                                                                               21.000       21.000          
   MAXIMUM                                                                                                                                               40.000       40.000           
   RANGE                                                                                                                                                 19.000       19.000           
   MEAN                                                                                                                                                  31.806       31.806           
   VARIANCE                                                                                                                                              17.247       17.247           
   STANDARD DEV                                                                                                                                           4.153        4.153           
   STD. ERROR                                                                                                                                             0.692        0.692           
   SKEWNESS(G1)                                                                                                                                          -0.188       -0.188           
   KURTOSIS(G2)                                                                                                                                          -0.003       -0.003           
   SUM                                                                                                                                                 1145.000     1145.000        
   C.V.                                                                                                                                                   0.131        0.131         
   MEDIAN                                                                                                                                                31.000       31.000         
                                                                                                                                                                                             
