
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P25          P25          P25          P25          P25          P25          P25          P25          P25          P25          P25          no data      P25        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              3.000       12.000       15.000       17.000       18.000       19.000       21.000       23.000       22.000       23.000       23.000                   18.000    
   MAXIMUM             14.000       26.000       29.000       30.000       32.000       33.000       34.000       36.000       37.000       38.000       36.000                   31.000    
   RANGE               11.000       14.000       14.000       13.000       14.000       14.000       13.000       13.000       15.000       15.000       13.000                   13.000    
   MEAN                 8.450       17.800       21.300       23.150       25.250       26.100       28.250       30.350       30.750       31.200       29.139                   25.350    
   VARIANCE             9.103       15.221       16.537       14.766       15.145       16.621       16.197       16.239       17.987       19.011       12.637                   13.924    
   STANDARD DEV         3.017        3.901        4.067        3.843        3.892        4.077        4.025        4.030        4.241        4.360        3.555                    3.731    
   STD. ERROR           0.675        0.872        0.909        0.859        0.870        0.912        0.900        0.901        0.948        0.975        0.592                    0.834    
   SKEWNESS(G1)        -0.162        0.744        0.158        0.305        0.120        0.122       -0.093       -0.059       -0.221        0.002        0.325                    0.029    
   KURTOSIS(G2)        -0.725       -0.478       -1.081       -1.121       -0.968       -1.102       -1.164       -1.098       -0.682       -0.891       -1.063                   -0.974    
   SUM                169.000      356.000      426.000      463.000      505.000      522.000      565.000      607.000      615.000      624.000     1049.000                  507.000    
   C.V.                 0.357        0.219        0.191        0.166        0.154        0.156        0.142        0.133        0.138        0.140        0.122                    0.147    
   MEDIAN               9.000       16.500       21.000       22.500       24.000       26.000       28.500       30.000       31.000       31.000       28.500                   25.000    
                                                                                                                                                                                             
