
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                       P7           P7           P7           P7           P7           P7           P7           P7           P7           P7           P7          no data       P7        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000       10.000       18.000       21.000       25.000       25.000       27.000       32.000       31.000       31.000       32.000                   26.000    
   MAXIMUM             13.000       24.000       29.000       30.000       35.000       33.000       41.000       42.000       39.000       42.000       49.000                   38.000    
   RANGE               13.000       14.000       11.000        9.000       10.000        8.000       14.000       10.000        8.000       11.000       17.000                   12.000    
   MEAN                 5.200       16.750       24.300       25.650       28.950       29.150       32.500       35.200       34.450       35.750       36.111                   31.150    
   VARIANCE            12.695       15.882       12.326        6.766        6.892        6.239        8.579        6.695        6.576        6.829       14.444                   11.608    
   STANDARD DEV         3.563        3.985        3.511        2.601        2.625        2.498        2.929        2.587        2.564        2.613        3.801                    3.407    
   STD. ERROR           0.797        0.891        0.785        0.582        0.587        0.559        0.655        0.579        0.573        0.584        0.633                    0.762    
   SKEWNESS(G1)         0.792        0.286       -0.196       -0.010        0.485       -0.154        0.948        0.915        0.520        0.426        1.509                    0.294    
   KURTOSIS(G2)        -0.108       -0.974       -1.176       -1.015       -0.236       -1.193        1.977        0.405       -0.730        0.144        2.475                   -0.665    
   SUM                104.000      335.000      486.000      513.000      579.000      583.000      650.000      704.000      689.000      715.000     1300.000                  623.000    
   C.V.                 0.685        0.238        0.144        0.101        0.091        0.086        0.090        0.074        0.074        0.073        0.105                    0.109    
   MEDIAN               4.500       16.000       25.000       26.000       29.000       29.500       32.000       34.000       34.000       36.000       35.000                   30.500    
                                                                                                                                                                                             
