
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P48          P48          P48          P48          P48          P48          P48          P48          P48        
   N OF CASES              20           20           20           20           20           20           20           36           20    
   MINIMUM             22.000       24.000       23.000       24.000       25.000       30.000       30.000       30.000       26.000    
   MAXIMUM             45.000       45.000       46.000       48.000       49.000       52.000       56.000       51.000       49.000    
   RANGE               23.000       21.000       23.000       24.000       24.000       22.000       26.000       21.000       23.000    
   MEAN                31.100       33.500       32.850       34.700       36.650       39.500       41.600       38.500       37.000    
   VARIANCE            43.674       33.632       48.871       35.905       44.029       42.053       48.779       35.171       45.263    
   STANDARD DEV         6.609        5.799        6.991        5.992        6.635        6.485        6.984        5.931        6.728    
   STD. ERROR           1.478        1.297        1.563        1.340        1.484        1.450        1.562        0.988        1.504    
   SKEWNESS(G1)         0.509        0.380        0.284        0.448        0.166        0.361        0.487        0.560        0.364    
   KURTOSIS(G2)        -0.506       -0.623       -0.938       -0.310       -0.896       -0.697       -0.365       -0.463       -0.808    
   SUM                622.000      670.000      657.000      694.000      733.000      790.000      832.000     1386.000      740.000    
   C.V.                 0.212        0.173        0.213        0.173        0.181        0.164        0.168        0.154        0.182    
   MEDIAN              30.000       32.500       33.000       35.000       36.000       38.500       40.000       38.000       37.000    
                                                                                                                                         
