
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P45          P45          P45          P45          P45          P45          P45          P45                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             17.000       20.000       22.000       24.000       26.000       28.000       30.000       26.000                 
   MAXIMUM             27.000       29.000       29.000       32.000       34.000       36.000       39.000       38.000                 
   RANGE               10.000        9.000        7.000        8.000        8.000        8.000        9.000       12.000                 
   MEAN                22.650       26.450       25.500       27.400       30.450       32.650       34.700       32.333                 
   VARIANCE             9.397        5.945        4.263        5.200        5.524        4.450        4.747        5.657                 
   STANDARD DEV         3.066        2.438        2.065        2.280        2.350        2.110        2.179        2.378                 
   STD. ERROR           0.685        0.545        0.462        0.510        0.526        0.472        0.487        0.396                 
   SKEWNESS(G1)        -0.324       -1.078       -0.147        0.174       -0.035       -0.595       -0.137       -0.184                 
   KURTOSIS(G2)        -0.960        0.530       -0.954       -0.677       -0.981       -0.415        0.244        0.419                 
   SUM                453.000      529.000      510.000      548.000      609.000      653.000      694.000     1164.000                 
   C.V.                 0.135        0.092        0.081        0.083        0.077        0.065        0.063        0.074                 
   MEDIAN              23.000       27.000       25.500       27.000       30.000       33.000       35.000       32.000      no data    
                                                                                                                                         
