
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P36          P36          no data    
   N OF CASES                                                                                                                                                36           36            
   MINIMUM                                                                                                                                               27.000       27.000           
   MAXIMUM                                                                                                                                               42.000       42.000          
   RANGE                                                                                                                                                 15.000       15.000          
   MEAN                                                                                                                                                  34.806       34.806          
   VARIANCE                                                                                                                                              15.990       15.990          
   STANDARD DEV                                                                                                                                           3.999        3.999          
   STD. ERROR                                                                                                                                             0.666        0.666          
   SKEWNESS(G1)                                                                                                                                          -0.056       -0.056          
   KURTOSIS(G2)                                                                                                                                          -0.986       -0.986          
   SUM                                                                                                                                                 1253.000     1253.000         
   C.V.                                                                                                                                                   0.115        0.115         
   MEDIAN                                                                                                                                                35.000       35.000         
                                                                                                                                                                                             
