
                     660707       660714       660721       660728       660804       660811       660817       660826      
                     P2             P2           P2           P2           P2           P2           P2           P2        
   N OF CASES        20                 20           20           20           20           20           36           20    
   MINIMUM             28.000       29.000       32.000       34.000       32.000       36.000       31.000       34.000    
   MAXIMUM             44.000       47.000       50.000       53.000       53.000       55.000       54.000       52.000    
   RANGE               16.000       18.000       18.000       19.000       21.000       19.000       23.000       18.000    
   MEAN                32.700       34.850       37.550       38.600       40.200       40.700       40.694       39.450    
   VARIANCE            19.800       21.503       22.997       21.095       24.695       24.116       29.533       18.787    
   STANDARD DEV         4.450        4.637        4.796        4.593        4.969        4.911        5.434        4.334    
   STD. ERROR           0.995        1.037        1.072        1.027        1.111        1.098        0.906        0.969    
   SKEWNESS(G1)         0.914        0.923        1.161        1.602        0.675        1.250        0.467        1.253    
   KURTOSIS(G2)         0.091        0.380        0.781        2.771        0.344        1.539        0.042        1.510    
   SUM                654.000      697.000      751.000      772.000      804.000      814.000     1465.000      789.000    
   C.V.                 0.136        0.133        0.128        0.119        0.124        0.121        0.134        0.110    
   MEDIAN              31.500       33.000       36.000       37.500       39.500       40.000       40.000       38.500    
                                                                                                                            
