
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P51          P51          P51          P51          P51          P51          P51          P51                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             25.000       30.000       26.000       32.000       29.000       39.000       40.000       32.000                 
   MAXIMUM             38.000       39.000       43.000       44.000       46.000       56.000       60.000       62.000                 
   RANGE               13.000        9.000       17.000       12.000       17.000       17.000       20.000       30.000                 
   MEAN                30.950       33.800       33.800       36.600       37.800       43.350       47.100       43.528                 
   VARIANCE            11.418        6.168       15.853        8.042       17.116       17.608       34.095       47.742                 
   STANDARD DEV         3.379        2.484        3.982        2.836        4.137        4.196        5.839        6.910                 
   STD. ERROR           0.756        0.555        0.890        0.634        0.925        0.938        1.306        1.152                 
   SKEWNESS(G1)         0.649        0.255        0.618        0.759       -0.078        1.454        0.942        1.051                 
   KURTOSIS(G2)        -0.014       -0.915        0.662        0.449       -0.184        2.019       -0.199        1.111                 
   SUM                619.000      676.000      676.000      732.000      756.000      867.000      942.000     1567.000                 
   C.V.                 0.109        0.073        0.118        0.077        0.109        0.097        0.124        0.159                 
   MEDIAN              30.000       33.500       33.500       36.500       38.000       42.000       45.000       43.000      no data    
                                                                                                                                         
