
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P14          P14          P14          P14          P14          P14          P14          P14          P14          P14          P14          no data      P14        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                        20    
   MINIMUM              0.000       15.000       25.000       27.000       32.000       35.000       37.000       39.000       39.000       41.000       39.000                    33.000    
   MAXIMUM             17.000       31.000       36.000       38.000       40.000       42.000       48.000       56.000       53.000       60.000       63.000                    47.000    
   RANGE               17.000       16.000       11.000       11.000        8.000        7.000       11.000       17.000       14.000       19.000       24.000                    14.000    
   MEAN                 7.500       24.400       30.050       33.300       36.550       38.550       42.200       45.850       46.200       48.350       50.833                    38.400    
   VARIANCE            27.421       19.621        7.313        6.642        6.471        4.892        9.958       17.503       16.274       24.029       32.143                    19.726    
   STANDARD DEV         5.237        4.430        2.704        2.577        2.544        2.212        3.156        4.184        4.034        4.902        5.669                     4.441    
   STD. ERROR           1.171        0.990        0.605        0.576        0.569        0.495        0.706        0.935        0.902        1.096        0.945                     0.993    
   SKEWNESS(G1)         0.298       -0.188        0.192       -0.341       -0.325       -0.218        0.131        0.489       -0.046        0.394       -0.113                     0.448    
   KURTOSIS(G2)        -1.059       -0.795       -0.349        0.041       -1.092       -1.415       -0.748       -0.037       -0.976       -0.165       -0.627                    -1.094    
   SUM                150.000      488.000      601.000      666.000      731.000      771.000      844.000      917.000      924.000      967.000     1830.000                   768.000    
   C.V.                 0.698        0.182        0.090        0.077        0.070        0.057        0.075        0.091        0.087        0.101        0.112                     0.116    
   MEDIAN               7.000       24.000       30.000       33.000       37.000       39.000       43.000       46.500       46.000       48.500       51.000                    37.000    
                                                                                                                                                                                             
