
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P29          P29          P29          P29          P29          P29          P29          P29        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             19.000       28.000       31.000       33.000       34.000       34.000       32.000       33.000    
   MAXIMUM             34.000       38.000       40.000       42.000       46.000       44.000       45.000       45.000    
   RANGE               15.000       10.000        9.000        9.000       12.000       10.000       13.000       12.000    
   MEAN                29.750       33.000       35.750       37.950       39.400       39.600       38.278       39.500    
   VARIANCE            11.250        9.158        9.671        9.208       12.989       13.200       11.749       14.158    
   STANDARD DEV         3.354        3.026        3.110        3.034        3.604        3.633        3.428        3.763    
   STD. ERROR           0.750        0.677        0.695        0.679        0.806        0.812        0.571        0.841    
   SKEWNESS(G1)        -1.726       -0.210       -0.397       -0.287        0.033       -0.182        0.278       -0.341    
   KURTOSIS(G2)         3.291       -1.173       -1.107       -1.143       -1.060       -1.422       -0.786       -1.053    
   SUM                595.000      660.000      715.000      759.000      788.000      792.000     1378.000      790.000    
   C.V.                 0.113        0.092        0.087        0.080        0.091        0.092        0.090        0.095    
   MEDIAN              31.000       33.500       36.500       38.500       40.000       39.500       38.000       40.500    
                                                                                                                            
