
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P11          P11          no data    
   N OF CASES                                                                                                                                                36           36           
   MINIMUM                                                                                                                                               22.000       22.000          
   MAXIMUM                                                                                                                                               48.000       48.000          
   RANGE                                                                                                                                                 26.000       26.000         
   MEAN                                                                                                                                                  31.750       31.750          
   VARIANCE                                                                                                                                              36.479       36.479          
   STANDARD DEV                                                                                                                                           6.040        6.040          
   STD. ERROR                                                                                                                                             1.007        1.007          
   SKEWNESS(G1)                                                                                                                                           0.754        0.754          
   KURTOSIS(G2)                                                                                                                                           0.260        0.260           
   SUM                                                                                                                                                 1143.000     1143.000        
   C.V.                                                                                                                                                   0.190        0.190         
   MEDIAN                                                                                                                                                30.500       30.500        
                                                                                                                                                                                             
