
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P30          P30          P30          P30          P30          P30          P30          P30          P30          P30          P30          no data      P30        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              0.000        4.000       11.000       16.000       21.000       21.000       24.000       28.000       26.000       29.000       30.000                   26.000    
   MAXIMUM              7.000       18.000       26.000       30.000       30.000       30.000       35.000       37.000       38.000       37.000       39.000                   35.000    
   RANGE                7.000       14.000       15.000       14.000        9.000        9.000       11.000        9.000       12.000        8.000        9.000                    9.000    
   MEAN                 2.050       11.100       16.200       20.200       23.550       24.100       27.200       30.300       30.050       32.750       32.611                   28.350    
   VARIANCE             5.418       12.516       12.379        9.853        5.418        4.305        4.905        4.432        6.261        4.197        3.902                    4.239    
   STANDARD DEV         2.328        3.538        3.518        3.139        2.328        2.075        2.215        2.105        2.502        2.049        1.975                    2.059    
   STD. ERROR           0.521        0.791        0.787        0.702        0.521        0.464        0.495        0.471        0.559        0.458        0.329                    0.460    
   SKEWNESS(G1)         0.580        0.289        1.072        1.403        1.001        1.061        2.157        1.677        1.452        0.346        1.141                    1.742    
   KURTOSIS(G2)        -0.935       -0.200        1.210        2.742        0.861        1.504        5.898        3.107        3.340        0.126        1.420                    3.477    
   SUM                 41.000      222.000      324.000      404.000      471.000      482.000      544.000      606.000      601.000      655.000     1174.000                  567.000    
   C.V.                 1.135        0.319        0.217        0.155        0.099        0.086        0.081        0.069        0.083        0.063        0.061                    0.073    
   MEDIAN               1.000       11.000       16.000       19.500       23.500       23.500       27.000       29.500       30.000       33.000       32.000                   28.000    
                                                                                                                                                                                             
