
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                      P21          P21          P21          P21          P21          P21          P21          P21          P21        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM             18.000       21.000       21.000       23.000       27.000       26.000       27.000       28.000       24.000    
   MAXIMUM             33.000       36.000       36.000       39.000       41.000       41.000       43.000       43.000       46.000    
   RANGE               15.000       15.000       15.000       16.000       14.000       15.000       16.000       15.000       22.000    
   MEAN                23.550       28.200       28.350       30.650       32.900       32.800       33.300       33.350       36.000    
   VARIANCE            15.524       15.432       19.713       16.450       15.884       14.800       23.589       14.766       28.229    
   STANDARD DEV         3.940        3.928        4.440        4.056        3.986        3.847        4.857        3.843        5.313    
   STD. ERROR           0.881        0.878        0.993        0.907        0.891        0.860        1.086        0.859        0.886    
   SKEWNESS(G1)         0.753        0.274        0.213        0.115        0.239        0.213        0.440        0.565       -0.065    
   KURTOSIS(G2)        -0.021       -0.761       -0.789       -0.475       -0.768       -0.606       -0.871       -0.030       -0.445    
   SUM                471.000      564.000      567.000      613.000      658.000      656.000      666.000      667.000     1296.000    
   C.V.                 0.167        0.139        0.157        0.132        0.121        0.117        0.146        0.115        0.148    
   MEDIAN              22.500       27.000       27.500       29.500       32.500       33.000       32.000       34.500       35.500    
                                                                                                                                         
