
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P21          P21          P21          P21          P21          P21          P21          P21          P21          P21          P21          no data      P21        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              9.000       17.000       22.000       23.000       27.000       30.000       32.000       31.000       34.000       33.000       34.000                   28.000    
   MAXIMUM             24.000       37.000       39.000       42.000       44.000       43.000       45.000       57.000       58.000       56.000       57.000                   45.000    
   RANGE               15.000       20.000       17.000       19.000       17.000       13.000       13.000       26.000       24.000       23.000       23.000                   17.000    
   MEAN                13.900       26.550       29.650       31.650       33.300       34.100       38.200       43.100       43.650       42.550       44.306                   35.150    
   VARIANCE            17.358       24.261       20.976       22.239       15.063       11.568       11.537       34.305       47.608       25.734       23.304                   20.871    
   STANDARD DEV         4.166        4.925        4.580        4.716        3.881        3.401        3.397        5.857        6.900        5.073        4.827                    4.568    
   STD. ERROR           0.932        1.101        1.024        1.055        0.868        0.761        0.760        1.310        1.543        1.134        0.805                    1.022    
   SKEWNESS(G1)         1.139        0.359        0.158        0.024        0.809        0.950        0.279        0.198        0.885        0.585        0.238                    0.393    
   KURTOSIS(G2)         0.603       -0.328       -0.656       -0.072        1.106        0.329       -0.615        0.358       -0.066        0.964        0.229                   -0.847    
   SUM                278.000      531.000      593.000      633.000      666.000      682.000      764.000      862.000      873.000      851.000     1595.000                  703.000    
   C.V.                 0.300        0.186        0.154        0.149        0.117        0.100        0.089        0.136        0.158        0.119        0.109                    0.130    
   MEDIAN              13.000       26.000       29.000       31.000       33.000       33.500       37.500       43.000       41.500       43.000       44.000                   33.500    
                                                                                                                                                                                             
