
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                       P7           P7           P7           P7           P7           P7           P7           P7           P7        
   N OF CASES              20           20           20           20           20           20           20           36           20    
   MINIMUM             16.000       18.000       20.000       21.000       24.000       27.000       28.000       25.000       24.000    
   MAXIMUM             31.000       32.000       33.000       33.000       35.000       37.000       39.000       44.000       39.000    
   RANGE               15.000       14.000       13.000       12.000       11.000       10.000       11.000       19.000       15.000    
   MEAN                23.100       24.650       25.900       26.700       28.200       30.850       32.000       31.167       29.300    
   VARIANCE            14.726       12.450       10.305        8.642       13.116        9.082        9.789       19.914       12.642    
   STANDARD DEV         3.837        3.528        3.210        2.940        3.622        3.014        3.129        4.463        3.556    
   STD. ERROR           0.858        0.789        0.718        0.657        0.810        0.674        0.700        0.744        0.795    
   SKEWNESS(G1)         0.478        0.231        0.269       -0.118        0.817        0.491        0.677        1.086        1.116    
   KURTOSIS(G2)        -0.412       -0.476       -0.128       -0.188       -0.542       -0.695       -0.284        1.323        1.303    
   SUM                462.000      493.000      518.000      534.000      564.000      617.000      640.000     1122.000      586.000    
   C.V.                 0.166        0.143        0.124        0.110        0.128        0.098        0.098        0.143        0.121    
   MEDIAN              22.000       24.500       25.000       27.000       28.000       30.500       32.000       31.000       29.000    
                                                                                                                                         
