
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P51          P51          P51          P51          P51          P51          P51          P51        
   N OF CASES               0           20           20           20           20           20           36           20    
   MINIMUM               .          27.000       31.000       35.000       38.000       38.000       35.000       36.000    
   MAXIMUM               .          42.000       46.000       58.000       57.000       58.000       53.000       58.000    
   RANGE                 .          15.000       15.000       23.000       19.000       20.000       18.000       22.000    
   MEAN                  .          34.500       38.450       42.150       45.100       45.550       44.583       45.500    
   VARIANCE              .          13.947       17.313       26.871       20.095       28.261       16.821       27.632    
   STANDARD DEV          .           3.735        4.161        5.184        4.483        5.316        4.101        5.257    
   STD. ERROR            .           0.835        0.930        1.159        1.002        1.189        0.684        1.175    
   SKEWNESS(G1)          .           0.379       -0.071        1.454        1.101        0.726        0.080        0.366    
   KURTOSIS(G2)          .           0.029       -0.690        2.405        1.171       -0.314       -0.224        0.111    
   SUM                   .         690.000      769.000      843.000      902.000      911.000     1605.000      910.000    
   C.V.                  .           0.108        0.108        0.123        0.099        0.117        0.092        0.116    
   MEDIAN                .          34.000       38.500       41.000       44.000       44.000       44.000       45.000    
                                                                                                                            
