
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P55          P55          P55          P55          P55          P55          P55          P55        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             14.000       17.000       21.000       21.000       22.000       22.000       21.000       21.000    
   MAXIMUM             20.000       22.000       24.000       27.000       29.000       28.000       29.000       26.000    
   RANGE                6.000        5.000        3.000        6.000        7.000        6.000        8.000        5.000    
   MEAN                16.900       19.350       22.400       23.250       24.800       24.350       24.333       23.450    
   VARIANCE             3.463        2.029        1.411        1.882        3.326        3.397        2.571        2.576    
   STANDARD DEV         1.861        1.424        1.188        1.372        1.824        1.843        1.604        1.605    
   STD. ERROR           0.416        0.319        0.266        0.307        0.408        0.412        0.267        0.359    
   SKEWNESS(G1)         0.048        0.367        0.147        0.667        0.410        0.245        0.497       -0.221    
   KURTOSIS(G2)        -1.040       -0.782       -1.428        0.813       -0.288       -1.082        0.517       -0.904    
   SUM                338.000      387.000      448.000      465.000      496.000      487.000      876.000      469.000    
   C.V.                 0.110        0.074        0.053        0.059        0.074        0.076        0.066        0.068    
   MEDIAN              17.000       19.000       22.000       24.000       25.000       24.000       24.000       24.000    
                                                                                                                            
