
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P41          P41          no data    
   N OF CASES                                                                                                                                                36           36                 
   MINIMUM                                                                                                                                               29.000       29.000                 
   MAXIMUM                                                                                                                                               50.000       50.000                 
   RANGE                                                                                                                                                 21.000       21.000                 
   MEAN                                                                                                                                                  35.806       35.806                 
   VARIANCE                                                                                                                                              13.418       13.418                 
   STANDARD DEV                                                                                                                                           3.663        3.663                 
   STD. ERROR                                                                                                                                             0.611        0.611                 
   SKEWNESS(G1)                                                                                                                                           1.654        1.654                 
   KURTOSIS(G2)                                                                                                                                           4.774        4.774                 
   SUM                                                                                                                                                 1289.000     1289.000                 
   C.V.                                                                                                                                                   0.102        0.102                 
   MEDIAN                                                                                                                                                35.000       35.000                 
                                                                                                                                                                                             
