
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P58          P58          P58          P58          P58          P58          P58          P58                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             14.000       14.000       15.000       15.000       16.000       18.000       20.000       19.000                 
   MAXIMUM             21.000       22.000       23.000       24.000       24.000       30.000       32.000       29.000                 
   RANGE                7.000        8.000        8.000        9.000        8.000       12.000       12.000       10.000                 
   MEAN                17.500       17.450       18.200       18.850       19.650       22.150       23.050       22.833                 
   VARIANCE             3.000        3.313        4.274        3.713        4.029        6.134        6.787        3.514                 
   STANDARD DEV         1.732        1.820        2.067        1.927        2.007        2.477        2.605        1.875                 
   STD. ERROR           0.387        0.407        0.462        0.431        0.449        0.554        0.583        0.312                 
   SKEWNESS(G1)        -0.125        0.432        0.642        0.580        0.536        1.509        1.978        0.746                 
   KURTOSIS(G2)        -0.271        0.326        0.174        1.097       -0.042        3.329        5.036        1.770                 
   SUM                350.000      349.000      364.000      377.000      393.000      443.000      461.000      822.000                 
   C.V.                 0.099        0.104        0.114        0.102        0.102        0.112        0.113        0.082                 
   MEDIAN              18.000       17.000       18.000       19.000       19.000       22.000       22.500       22.500      no data    
                                                                                                                                         
