
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P53          P53          P53          P53          P53          P53          P53          P53                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             11.000       17.000       21.000       22.000       26.000       27.000       29.000       24.000                 
   MAXIMUM             38.000       46.000       53.000       57.000       59.000       62.000       71.000       74.000                 
   RANGE               27.000       29.000       32.000       35.000       33.000       35.000       42.000       50.000                 
   MEAN                19.750       30.300       35.050       37.050       40.050       43.550       48.100       45.833                 
   VARIANCE            68.618       77.484      102.682      151.103      133.208      146.366      181.989      148.314                 
   STANDARD DEV         8.284        8.803       10.133       12.292       11.542       12.098       13.490       12.178                 
   STD. ERROR           1.852        1.968        2.266        2.749        2.581        2.705        3.017        2.030                 
   SKEWNESS(G1)         1.117        0.186        0.435        0.447        0.432        0.304        0.312        0.151                 
   KURTOSIS(G2)        -0.040       -1.102       -1.213       -1.254       -1.304       -1.373       -1.344       -0.832                 
   SUM                395.000      606.000      701.000      741.000      801.000      871.000      962.000     1650.000                 
   C.V.                 0.419        0.291        0.289        0.332        0.288        0.278        0.280        0.266                 
   MEDIAN              15.500       28.000       31.500       32.500       35.500       38.500       43.000       47.000      no data    
                                                                                                                                         
