			
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                       P1           P1           P1           P1           P1           P1           P1           P1           P1           P1           P1          no data       P1        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                       20    
   MINIMUM              9.000       16.000       19.000       22.000       23.000       24.000       27.000       28.000       28.000       33.000       32.000                   26.000    
   MAXIMUM             25.000       34.000       39.000       44.000       40.000       43.000       44.000       46.000       44.000       50.000       52.000                   42.000    
   RANGE               16.000       18.000       20.000       22.000       17.000       19.000       17.000       18.000       16.000       17.000       20.000                   16.000    
   MEAN                17.400       25.500       28.350       30.050       31.350       31.700       35.250       37.250       36.850       40.600       39.528                   34.950    
   VARIANCE            21.937       26.474       34.029       32.155       24.134       26.326       25.987       21.145       14.345       18.463       22.142                   19.103    
   STANDARD DEV         4.684        5.145        5.833        5.671        4.913        5.131        5.098        4.598        3.787        4.297        4.706                    4.371    
   STD. ERROR           1.047        1.151        1.304        1.268        1.099        1.147        1.140        1.028        0.847        0.961        0.784                    0.977    
   SKEWNESS(G1)        -0.076       -0.008        0.137        0.609        0.223        0.367       -0.044       -0.171       -0.108        0.437        0.428                   -0.016    
   KURTOSIS(G2)        -0.965       -0.887       -1.002        0.010       -0.683       -0.485       -0.976       -0.412        0.141       -0.018       -0.047                   -0.667    
   SUM                348.000      510.000      567.000      601.000      627.000      634.000      705.000      745.000      737.000      812.000     1423.000                  699.000    
   C.V.                 0.269        0.202        0.206        0.189        0.157        0.162        0.145        0.123        0.103        0.106        0.119                    0.125    
   MEDIAN              18.500       25.000       28.500       29.500       31.000       31.000       35.500       37.500       37.000       40.000       40.000                   35.000    
                                                                                                                                                                                             
