
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P15          P15          P15          P15          P15          P15          P15          P15          P15          P15          P15          no data      P15        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                        20    
   MINIMUM              0.000        3.000        6.000       13.000       26.000       28.000       31.000       35.000       38.000       41.000       40.000                    32.000    
   MAXIMUM              8.000       27.000       33.000       37.000       40.000       43.000       47.000       50.000       56.000       54.000       60.000                    52.000    
   RANGE                8.000       24.000       27.000       24.000       14.000       15.000       16.000       15.000       18.000       13.000       20.000                    20.000    
   MEAN                 0.950       12.100       22.400       30.350       34.200       36.400       40.950       44.900       45.000       46.450       51.139                    41.250    
   VARIANCE             4.576       37.779       40.884       27.713       15.011       16.042       16.576       11.884       18.000       11.734       23.837                    21.145    
   STANDARD DEV         2.139        6.146        6.394        5.264        3.874        4.005        4.071        3.447        4.243        3.426        4.882                     4.598    
   STD. ERROR           0.478        1.374        1.430        1.177        0.866        0.896        0.910        0.771        0.949        0.766        0.814                     1.028    
   SKEWNESS(G1)         2.218        0.382       -0.898       -1.737       -0.395       -0.443       -0.481       -1.210        0.649        0.548       -0.147                     0.305    
   KURTOSIS(G2)         4.074       -0.088        0.568        3.967       -0.629       -0.702        0.068        1.750        0.651       -0.479       -0.679                     0.052    
   SUM                 19.000      242.000      448.000      607.000      684.000      728.000      819.000      898.000      900.000      929.000     1841.000                   825.000    
   C.V.                 2.252        0.508        0.285        0.173        0.113        0.110        0.099        0.077        0.094        0.074        0.095                     0.111    
   MEDIAN               0.000       10.500       24.500       31.000       34.500       37.000       42.000       45.000       45.000       45.500       52.000                    42.000    
                                                                                                                                                                                             
