
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P37          P37          P37          P37          P37          P37          P37          P37        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             19.000       24.000       26.000       27.000       28.000       29.000       30.000       30.000    
   MAXIMUM             36.000       40.000       43.000       46.000       51.000       50.000       50.000       51.000    
   RANGE               17.000       16.000       17.000       19.000       23.000       21.000       20.000       21.000    
   MEAN                25.900       29.950       32.650       34.200       36.500       36.800       36.361       37.200    
   VARIANCE            20.621       21.945       23.503       25.432       40.789       37.853       25.666       34.274    
   STANDARD DEV         4.541        4.685        4.848        5.043        6.387        6.152        5.066        5.854    
   STD. ERROR           1.015        1.047        1.084        1.128        1.428        1.376        0.844        1.309    
   SKEWNESS(G1)         0.662        0.606        0.646        0.645        0.879        0.802        1.035        0.836    
   KURTOSIS(G2)        -0.216       -0.339       -0.373       -0.266       -0.087       -0.303        0.465       -0.269    
   SUM                518.000      599.000      653.000      684.000      730.000      736.000     1309.000      744.000    
   C.V.                 0.175        0.156        0.148        0.147        0.175        0.167        0.139        0.157    
   MEDIAN              25.000       29.000       31.000       33.000       34.500       35.000       35.500       36.000    
                                                                                                                            
