
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                       P1           P1           P1           P1           P1           P1           P1           P1           P1        
   N OF CASES              20           20           20           20           20           20           20           36           20    
   MINIMUM             18.000       21.000       20.000       19.000       23.000       26.000       30.000       27.000       25.000    
   MAXIMUM             37.000       39.000       42.000       44.000       44.000       49.000       48.000       51.000       46.000    
   RANGE               19.000       18.000       22.000       25.000       21.000       23.000       18.000       24.000       21.000    
   MEAN                27.350       28.800       28.400       31.100       31.700       35.550       36.900       37.167       33.800    
   VARIANCE            30.555       27.747       34.463       45.463       30.221       39.313       26.937       29.743       29.326    
   STANDARD DEV         5.528        5.268        5.871        6.743        5.497        6.270        5.190        5.454        5.415    
   STD. ERROR           1.236        1.178        1.313        1.508        1.229        1.402        1.161        0.909        1.211    
   SKEWNESS(G1)         0.056        0.477        0.508        0.226        0.390        0.480        0.677        0.162        0.539    
   KURTOSIS(G2)        -0.851       -0.616       -0.344       -0.862       -0.412       -0.556       -0.571       -0.328       -0.398    
   SUM                547.000      576.000      568.000      622.000      634.000      711.000      738.000     1338.000      676.000    
   C.V.                 0.202        0.183        0.207        0.217        0.173        0.176        0.141        0.147        0.160    
   MEDIAN              27.500       28.500       29.000       32.500       31.000       36.000       35.500       37.000       32.500    
                                                                                                                                         
