
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P17          P17          P17          P17          P17          P17          P17          P17                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             11.000       21.000       22.000       22.000       22.000       27.000       30.000       28.000                 
   MAXIMUM             33.000       36.000       39.000       40.000       44.000       51.000       56.000       49.000                 
   RANGE               22.000       15.000       17.000       18.000       22.000       24.000       26.000       21.000                 
   MEAN                26.450       30.300       32.200       33.000       34.950       39.700       42.400       39.944                 
   VARIANCE            30.471       19.589       26.589       22.211       31.734       27.695       40.884       18.111                 
   STANDARD DEV         5.520        4.426        5.156        4.713        5.633        5.263        6.394        4.256                 
   STD. ERROR           1.234        0.990        1.153        1.054        1.260        1.177        1.430        0.709                 
   SKEWNESS(G1)        -1.322       -0.392       -0.588       -0.758       -0.412       -0.405        0.036       -0.669                 
   KURTOSIS(G2)         1.470       -0.655       -0.603       -0.167       -0.292        0.572       -0.322        0.588                 
   SUM                529.000      606.000      644.000      660.000      699.000      794.000      848.000     1438.000                 
   C.V.                 0.209        0.146        0.160        0.143        0.161        0.133        0.151        0.107                 
   MEDIAN              27.500       30.500       33.500       34.500       35.500       40.000       43.500       40.500      no data    
                                                                                                                                         
