source,entrytype,author,year,title,journal,booktitle,publisher,institution,version,volume,number,pages,doi,url,howpublished,note
Selawik,misc,"Rowland, Joel",2022,"Selawik National Wildlife Refuge observations, unpublished",,,,,,,,,,,"(2022), Selawik National Wildlife Refuge observations, unpublished",
Seward,dataset,Thaler E ; Uhlemann S ; Rowland J ; Dafflon B ; Schwenk J ; Bennett K ; Thomas L,2023,"Machine learning predictions of near-surface permafrost extent at Teller 27, Teller 47, and the Kougarok 64 Hillslope sites on the Seward Peninsula, Alaska: Supporting Data",,,ESS-DIVE,,,,,,10.5440/1970774,,,
Seward_2022,dataset,Thaler E ; Del Vecchio J ; Farley M ; Thomas L ; Rowland J,2024,"Active Layer Depth and Permafrost Temperatures at the Teller 47 Field Site, Seward Peninsula, Alaska, 2022",,,ESS-DIVE,,,,,,10.15485/2395957,,,
Smith_Burgess_2000,techreport,"Smith, S. & Burgess, M. M",2000,Ground temperature database for northern Canada,,,,Geological Survey of Canada,,3954,,28,,,,
Smith_Burgess_2002,techreport,"Smith, S. L. & Burgess, M. M",2002,A digital database of permafrost thickness in Canada,,,,Geological Survey of Canada,,4173,,38,,,,
Talucci_2024,dataset,"Anna Talucci, Michael Loranty, Jean Holloway, Brendan Rogers, Heather Alexander, Natalie Baillargeon, Jennifer Baltzer, Logan Berner, Amy Breen, Leya Brodt, Brian Buma, Clement Delcourt, Lucas Diaz, Catherine Dieleman, Thomas Douglas, Gerald Frost, Benjamin Gaglioti, Rebecca Hewitt, Teresa Hollingsworth, M. Torre Jorgenson, Mark Lara, Rachel Loehman, Michelle Mack, Kristen Manies, Christina Minions, Susan Natali, Jonathon O'Donnell, David Olefeldt, Alison Paulson, Adrian Rocha, Lisa Saperstein, Tatiana Shestakova, Seeta Sistla, Oleg Sizov, Andrey Soromotin, Merritt Turetsky, Sander Veraverbeke, & Michelle Walvoord. (2024). FireALT dataset",2024,FireALT: active layer thickness estimates for paired burned and unburned sites in northern high latitudes,,,Arctic Data Center,,,,,,10.18739/A2RN3092P,https://doi.org/10.18739/A2RN3092P,,
Wagner_2019,misc,"Wagner, Anna; Barker, Amanda (2018), “Data for",2018,"Distribution of Polycyclic Aromatic Hydrocarbons (PAHs) from Legacy Spills at an Alaskan Arctic Site Underlain by Permafrost”, Mendeley Data, V1",,,,,,,,,10.17632/2dn4rdmsxn.1,,,
Walker_2022,dataset,"Walker, D. A., M. Kanevskiy, A. L. Breen, A. Kade, R. P. Daanen, B. M. Jones, D. J. Nicolsky, H. Bergstedt, E. Watson-Cook, and J. L. Peirce",2022,"Observations in ice-rich permafrost systems, Prudhoe Bay Alaska, 2020-21",,,,Alaska Geobotany Center,,,,,,,,
Walker_2022,dataset,"Donald A (Skip) Walker, Emily Watson-Cook, Mikhail Kanevskiy, & Helena Bergstedt",2022,"Observations in ice-rich permafrost systems, Prudhoe Bay Alaska, August 2020",,,Arctic Data Center,,,,,,10.18739/A2445HF16,,,
Wang_2018,dataset,"Kang Wang, Irina Overeem, Elchin Jafarov, Gary Clow, Vladimir Romanovsky, Kevin Schaefer, Frank Urban, William Cable, Mark Piper, Christopher Schwalm, Tingjun Zhang, Alexander Kholodov, Pamela Sousanes, Michael Loso, David Swanson, & Kenneth Hill",2018,"A synthesis dataset of near-surface permafrost conditions for Alaska, 1997-2016",,,Arctic Data Center,,,,,,10.18739/A24X54G8D,,,
Whitley_2018,dataset,"Whitley, M., G. Frost, M.T. Jorgenson, M. Macander, C.V. Maio, and S.G. Winder. 2018. ABoVE",2016,"Permafrost Measurements and Distribution Across the Y-K Delta, Alaska, 2016",,,ORNL DAAC,,,,,,,,,
Zhang_2019,misc,"Zhang Y, Touzi R, Feng W, Hong G, Lantz TC, Kokelj SV. Landscape-scale variations in near-surface soil temperature and active-layer thickness",2021,Implications for high-resolution permafrost mapping,,,,,,32,4,627-640,,,,
Zhao_2021,dataset,"Zhao, L., Zou, D., Hu, G., Wu, T., Du, E., Liu, G., Xiao, Y., Li, R., Pang, Q., Qiao, Y., Wu, X., Sun, Z., Xing, Z., Sheng, Y., Zhao, Y., Shi, J., Xie, C., Wang, L., Wang, C., and Cheng, G.",2021,"A synthesis dataset of permafrost thermal state for the Qinghai–Tibet (Xizang) Plateau, China",Earth Syst. Sci. Data,,,,,13,,4207–4218,10.5194/essd-13-4207-2021,https://doi.org/10.5194/essd-13-4207-2021,,
