lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
137.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
137.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
140.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
140.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
141.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
142.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
143.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
144.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
145.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
146.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
147.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
147.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
148.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
148.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
149.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
149.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
150.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
150.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
151.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
151.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
152.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
152.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
153.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
153.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
154.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
154.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
155.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
155.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
156.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
156.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
157.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
157.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
158.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
158.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
159.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
159.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
160.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
160.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
161.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
161.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
162.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
162.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
163.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
105.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.75,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
109.25,77.25,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
