lon,lat,date,source,site_id,pf_observed,pf_depth,thaw_depth,obs_limit,method,source_point_id,source_thaw_depth_m,source_comment,source_easting,source_northing,source_elevation_m,source_detected_crs
-156.7687548025325,71.29060470037061,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,74.0,74.0,,tp,TNHA-2021-1-50,0.74,To refusal,579865.1018687206,7911281.479240184,10.0,EPSG:32604
-156.76876217859927,71.29061340650532,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,72.0,72.0,,tp,TNHA-2021-1-51,0.72,To refusal,579864.8021437097,7911282.439939793,10.0,EPSG:32604
-156.76876955467264,71.29062211263971,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,46.0,46.0,,tp,TNHA-2021-1-52,0.46,To refusal,579864.5024186989,7911283.400639403,10.0,EPSG:32604
-156.76877693075255,71.29063081877386,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-1,1,89.0,89.0,,tp,TNHA-2021-1-53,0.89,To refusal,579864.2026936879,7911284.361339012,10.0,EPSG:32604
-156.7693695604247,71.29033346736426,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-0,,Frost probe bottomed out,579844.2214857022,7911250.434337704,10.0,EPSG:32604
-156.7693426821249,71.29033602004995,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-1,,Frost probe bottomed out,579845.1726962465,7911250.754356392,10.0,EPSG:32604
-156.7693158042043,71.2903385693714,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-2,,Frost probe bottomed out,579846.1239067909,7911251.074,10.0,EPSG:32604
-156.7692889255042,71.2903411254098,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-3,,Frost probe bottomed out,579847.0751173352,7911251.394393767,10.0,EPSG:32604
-156.76926204718336,71.29034367808393,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-4,,Frost probe bottomed out,579848.0263278795,7911251.7144124545,10.0,EPSG:32604
-156.76923516885546,71.29034623075424,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-5,,Frost probe bottomed out,579848.9775384238,7911252.034431143,10.0,EPSG:32604
-156.76920829098378,71.29034877939063,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-6,,Frost probe bottomed out,579849.9287489682,7911252.354,10.0,EPSG:32604
-156.7691814121786,71.29035133608333,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-7,,Frost probe bottomed out,579850.8799595125,7911252.674468517,10.0,EPSG:32604
-156.76915453382964,71.29035388874209,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-8,,Frost probe bottomed out,579851.8311700568,7911252.994487205,10.0,EPSG:32604
-156.76912765547368,71.29035644139704,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-9,,Frost probe bottomed out,579852.7823806012,7911253.314505893,10.0,EPSG:32604
-156.76910077662106,71.29035899830747,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-10,,Frost probe bottomed out,579853.7335911455,7911253.635,10.0,EPSG:32604
-156.76907389874066,71.29036154669537,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-11,,Frost probe bottomed out,579854.6848016898,7911253.954543268,10.0,EPSG:32604
-156.76904702036362,71.29036409933877,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,56.99999999999999,56.99999999999999,,tp,TNHA-2021-2-12,0.57,Frost probe bottomed out,579855.6360122341,7911254.274561956,10.0,EPSG:32604
-156.76902014197955,71.29036665197832,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,56.00000000000001,56.00000000000001,,tp,TNHA-2021-2-13,0.56,Frost probe bottomed out,579856.5872227785,7911254.594580644,10.0,EPSG:32604
-156.76899326358844,71.29036920461402,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,0,,,100.0,tp,TNHA-2021-2-14,,Frost probe bottomed out,579857.5384333228,7911254.914599331,10.0,EPSG:32604
-156.76896638519037,71.29037175724588,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,44.0,44.0,,tp,TNHA-2021-2-15,0.44,Frost probe bottomed out,579858.4896438671,7911255.234618018,10.0,EPSG:32604
-156.76893950678522,71.29037430987391,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,44.0,44.0,,tp,TNHA-2021-2-16,0.44,Frost probe bottomed out,579859.4408544115,7911255.554636707,10.0,EPSG:32604
-156.76891262837307,71.29037686249808,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,39.0,39.0,,tp,TNHA-2021-2-17,0.39,Frost probe bottomed out,579860.3920649558,7911255.874655394,10.0,EPSG:32604
-156.76888574995388,71.2903794151184,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,49.0,49.0,,tp,TNHA-2021-2-18,0.49,Frost probe bottomed out,579861.3432755001,7911256.194674081,10.0,EPSG:32604
-156.7688588715277,71.29038196773489,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,42.0,42.0,,tp,TNHA-2021-2-19,0.42,Frost probe bottomed out,579862.2944860444,7911256.514692769,10.0,EPSG:32604
-156.7688319930945,71.29038452034753,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,56.00000000000001,56.00000000000001,,tp,TNHA-2021-2-20,0.56,Frost probe bottomed out,579863.2456965888,7911256.834711457,10.0,EPSG:32604
-156.76880511465424,71.29038707295632,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,60.0,60.0,,tp,TNHA-2021-2-21,0.6,Frost probe bottomed out,579864.1969071331,7911257.154730144,10.0,EPSG:32604
-156.76877823620697,71.29038962556129,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,72.0,72.0,,tp,TNHA-2021-2-22,0.72,Frost probe bottomed out,579865.1481176774,7911257.474748832,10.0,EPSG:32604
-156.7687513577527,71.29039217816239,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,74.0,74.0,,tp,TNHA-2021-2-23,0.74,Frost probe bottomed out,579866.0993282218,7911257.794767519,10.0,EPSG:32604
-156.7687244792914,71.29039473075967,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,88.0,88.0,,tp,TNHA-2021-2-24,0.88,Frost probe bottomed out,579867.0505387661,7911258.114786207,10.0,EPSG:32604
-156.76869760082306,71.29039728335307,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,52.0,52.0,,tp,TNHA-2021-2-25,0.52,Road,579868.0017493104,7911258.434804895,10.0,EPSG:32604
-156.7686707223477,71.29039983594267,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,15.0,15.0,,tp,TNHA-2021-2-26,0.15,Road,579868.9529598547,7911258.754823582,10.0,EPSG:32604
-156.76864384386536,71.29040238852838,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,11.0,11.0,,tp,TNHA-2021-2-27,0.11,Road,579869.9041703991,7911259.074842269,10.0,EPSG:32604
-156.76861696537594,71.29040494111028,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,55.00000000000001,55.00000000000001,,tp,TNHA-2021-2-28,0.55,Road,579870.8553809434,7911259.394860958,10.0,EPSG:32604
-156.76859008687953,71.29040749368832,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,64.0,64.0,,tp,TNHA-2021-2-29,0.64,Road,579871.8065914877,7911259.714879645,10.0,EPSG:32604
-156.76856320843282,71.29041004626319,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,66.0,66.0,,tp,TNHA-2021-2-30,0.66,Road,579872.7578,7911260.034898332,10.0,EPSG:32604
-156.76853632986564,71.29041259883287,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,49.0,49.0,,tp,TNHA-2021-2-31,0.49,Road,579873.7090125764,7911260.354917021,10.0,EPSG:32604
-156.76850945134817,71.29041515139939,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,32.0,32.0,,tp,TNHA-2021-2-32,0.32,Road,579874.6602231207,7911260.674935708,10.0,EPSG:32604
-156.7684825737633,71.29041770397318,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,33.0,33.0,,tp,TNHA-2021-2-33,0.33,Road,579875.6114,7911260.994954396,10.0,EPSG:32604
-156.76845569429216,71.29042025652087,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,26.0,26.0,,tp,TNHA-2021-2-34,0.26,Road,579876.5626442094,7911261.314973083,10.0,EPSG:32604
-156.76842881575362,71.29042280907584,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,27.0,27.0,,tp,TNHA-2021-2-35,0.27,Road,579877.5138547537,7911261.634991771,10.0,EPSG:32604
-156.76840193623948,71.29042536161549,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,24.0,24.0,,tp,TNHA-2021-2-36,0.24,Road,579878.4651,7911261.955010459,10.0,EPSG:32604
-156.76837505865544,71.29042791417424,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,26.0,26.0,,tp,TNHA-2021-2-37,0.26,Road,579879.4162758423,7911262.275029146,10.0,EPSG:32604
-156.76834818009587,71.29043046671768,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,24.0,24.0,,tp,TNHA-2021-2-38,0.24,Road,579880.3674863867,7911262.595047833,10.0,EPSG:32604
-156.7682675443749,71.29043812432495,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,37.0,37.0,,tp,TNHA-2021-2-41,0.37,Building is too low to use frost probe,579883.2211180197,7911263.555103896,10.0,EPSG:32604
-156.7682406657872,71.29044067685302,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,34.0,34.0,,tp,TNHA-2021-2-42,0.34,Building is too low to use frost probe,579884.1723285641,7911263.875122584,10.0,EPSG:32604
-156.76821378719248,71.29044322937725,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,38.0,38.0,,tp,TNHA-2021-2-43,0.38,Building is too low to use frost probe,579885.1235391084,7911264.195141272,10.0,EPSG:32604
-156.76818690859074,71.29044578189762,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,34.0,34.0,,tp,TNHA-2021-2-44,0.34,Building is too low to use frost probe,579886.0747496528,7911264.515159959,10.0,EPSG:32604
-156.76816002998197,71.29044833441415,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,40.0,40.0,,tp,TNHA-2021-2-45,0.4,Building is too low to use frost probe,579887.0259601971,7911264.835178647,10.0,EPSG:32604
-156.76813315136621,71.29045088692683,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,39.0,39.0,,tp,TNHA-2021-2-46,0.39,Building is too low to use frost probe,579887.9771707414,7911265.1551973345,10.0,EPSG:32604
-156.76810627274338,71.29045343943568,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,38.0,38.0,,tp,TNHA-2021-2-47,0.38,Building is too low to use frost probe,579888.9283812857,7911265.475216022,10.0,EPSG:32604
-156.76807939435537,71.29045598983788,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,54.0,54.0,,tp,TNHA-2021-2-48,0.54,Building is too low to use frost probe,579889.8795918301,7911265.795,10.0,EPSG:32604
-156.7680525154767,71.29045854444183,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,31.0,31.0,,tp,TNHA-2021-2-49,0.31,Building is too low to use frost probe,579890.8308023744,7911266.115253397,10.0,EPSG:32604
-156.76802563683285,71.29046109693913,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,64.0,64.0,,tp,TNHA-2021-2-50,0.64,Building is too low to use frost probe,579891.7820129187,7911266.435272085,10.0,EPSG:32604
-156.76799875818196,71.29046364943261,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,68.0,68.0,,tp,TNHA-2021-2-51,0.68,Building is too low to use frost probe,579892.7332234631,7911266.755290773,10.0,EPSG:32604
-156.76797187984292,71.29046619914973,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,35.0,35.0,,tp,TNHA-2021-2-52,0.35,Unsure if gravel,579893.6844340074,7911267.075,10.0,EPSG:32604
-156.76794500085913,71.290468754408,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,48.0,48.0,,tp,TNHA-2021-2-53,0.48,To refusal,579894.6356445517,7911267.395328148,10.0,EPSG:32604
-156.76791812093387,71.29047130687506,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,37.0,37.0,,tp,TNHA-2021-2-54,0.37,To refusal,579895.5869,7911267.715346836,10.0,EPSG:32604
-156.76789124350822,71.290473859368,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,36.0,36.0,,tp,TNHA-2021-2-55,0.36,To refusal,579896.5380656404,7911268.035365523,10.0,EPSG:32604
-156.76786436482217,71.29047641184225,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,26.0,26.0,,tp,TNHA-2021-2-56,0.26,To refusal,579897.4892761847,7911268.355384211,10.0,EPSG:32604
-156.76783748575878,71.29047896430828,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,28.000000000000004,28.000000000000004,,tp,TNHA-2021-2-57,0.28,To refusal,579898.4405,7911268.675402898,10.0,EPSG:32604
-156.76781060742914,71.29048151677918,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,28.999999999999996,28.999999999999996,,tp,TNHA-2021-2-58,0.29,To refusal,579899.3916972734,7911268.995421586,10.0,EPSG:32604
-156.76778372872207,71.29048406924193,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,23.0,23.0,,tp,TNHA-2021-2-59,0.23,To refusal,579900.3429078177,7911269.315440274,10.0,EPSG:32604
-156.7677568505205,71.29048662170685,2021-09-01,Utqiagvik_ERT_GPR,TNHA-2021-2,1,24.0,24.0,,tp,TNHA-2021-2-60,0.24,To refusal,579901.2941,7911269.635458961,10.0,EPSG:32604
