site_ID,lon_gpr,lat_gpr,alt_gpr,unc_alt_gpr
BS,-156.553838,71.256437,0.43187,0.059982
BS,-156.553838,71.256435,0.448066,0.062231
BS,-156.553838,71.256434,0.458862,0.063731
BS,-156.553837,71.256432,0.448066,0.062231
BS,-156.553837,71.256431,0.43457,0.060357
BS,-156.553836,71.256429,0.418374,0.058108
BS,-156.553836,71.256428,0.43187,0.059982
BS,-156.553835,71.256427,0.437269,0.060732
BS,-156.553833,71.256424,0.437269,0.060732
BS,-156.553831,71.256422,0.429171,0.059607
BS,-156.553828,71.25642,0.43457,0.060357
BS,-156.553828,71.256417,0.426472,0.059232
BS,-156.553828,71.256414,0.43187,0.059982
BS,-156.553828,71.256412,0.429171,0.059607
BS,-156.553829,71.256411,0.415675,0.057733
BS,-156.553829,71.256411,0.421074,0.058482
BS,-156.55383,71.25641,0.426472,0.059232
BS,-156.55383,71.256408,0.421074,0.058482
BS,-156.553829,71.256405,0.415675,0.057733
BS,-156.553829,71.256403,0.412976,0.057358
BS,-156.553829,71.256401,0.410277,0.056983
BS,-156.553828,71.256398,0.415675,0.057733
BS,-156.553828,71.256397,0.412976,0.057358
BS,-156.553827,71.256395,0.418374,0.058108
BS,-156.553827,71.256393,0.418374,0.058108
BS,-156.553828,71.256393,0.418374,0.058108
BS,-156.553828,71.256392,0.410277,0.056983
BS,-156.553828,71.25639,0.410277,0.056983
BS,-156.553828,71.256388,0.415675,0.057733
BS,-156.553829,71.256387,0.412976,0.057358
BS,-156.55383,71.256386,0.410277,0.056983
BS,-156.553831,71.256385,0.410277,0.056983
BS,-156.553832,71.256383,0.415675,0.057733
BS,-156.553831,71.256381,0.410277,0.056983
BS,-156.553829,71.256378,0.426472,0.059232
BS,-156.553828,71.256375,0.43457,0.060357
BS,-156.553827,71.256373,0.429171,0.059607
BS,-156.553826,71.256371,0.426472,0.059232
BS,-156.553825,71.256369,0.429171,0.059607
BS,-156.553823,71.256367,0.429171,0.059607
BS,-156.553823,71.256365,0.426472,0.059232
BS,-156.553823,71.256362,0.423773,0.058857
BS,-156.553823,71.25636,0.423773,0.058857
BS,-156.553823,71.256358,0.43187,0.059982
BS,-156.553823,71.256355,0.43187,0.059982
BS,-156.553822,71.256353,0.43457,0.060357
BS,-156.55382,71.25635,0.423773,0.058857
BS,-156.553819,71.256348,0.421074,0.058482
BS,-156.553818,71.256347,0.421074,0.058482
BS,-156.553818,71.256345,0.426472,0.059232
BS,-156.553817,71.256343,0.429171,0.059607
BS,-156.553815,71.256342,0.423773,0.058857
BS,-156.553813,71.25634,0.423773,0.058857
BS,-156.553812,71.256338,0.423773,0.058857
BS,-156.55381,71.256337,0.429171,0.059607
BS,-156.553811,71.256333,0.429171,0.059607
BS,-156.553812,71.25633,0.43457,0.060357
BS,-156.553813,71.256327,0.426472,0.059232
BS,-156.553814,71.256325,0.43457,0.060357
BS,-156.553815,71.256323,0.437269,0.060732
BS,-156.553814,71.256321,0.450765,0.062606
BS,-156.553813,71.256318,0.442667,0.061482
BS,-156.553812,71.256316,0.43187,0.059982
BS,-156.553811,71.256314,0.421074,0.058482
BS,-156.55381,71.256312,0.410277,0.056983
BS,-156.55381,71.25631,0.421074,0.058482
BS,-156.553809,71.256308,0.423773,0.058857
BS,-156.553809,71.256305,0.423773,0.058857
BS,-156.553808,71.256303,0.423773,0.058857
BS,-156.553809,71.256301,0.418374,0.058108
