site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source
TKN0153,9/29/2001,63.519443565,-142.39082829,79.0,1,79.0,130.0,tp,Hollingsworth_2005
TKN0154,9/29/2001,63.419627819,-142.4829193,43.8,1,43.8,130.0,tp,Hollingsworth_2005
TKN0155,9/29/2001,63.40418509,-142.47219825,47.1,1,47.1,130.0,tp,Hollingsworth_2005
TKN0156,9/29/2001,63.394302102,-142.4924931,68.375,1,68.375,120.0,tp,Hollingsworth_2005
TKN0157,9/29/2001,63.3862032,-142.52735711,65.88888888888889,1,65.88888888888889,110.0,tp,Hollingsworth_2005
TKN0201,9/5/2002,64.949684323,-148.42243252,,0,,130.0,tp,Hollingsworth_2005
TKN0202,9/5/2002,64.945681398,-148.30008317,,0,,130.0,tp,Hollingsworth_2005
TKN0203,9/5/2002,64.948037316,-148.43795548,,0,,130.0,tp,Hollingsworth_2005
TKN0204,9/5/2002,64.947596365,-148.43573931,,0,,130.0,tp,Hollingsworth_2005
TKN0205,9/13/2002,64.889400898,-148.27419439,,0,,130.0,tp,Hollingsworth_2005
TKN0206,9/3/2002,64.803216825,-148.31698858,,0,,130.0,tp,Hollingsworth_2005
TKN0207,8/26/2002,64.722093266,-148.47660681,,0,,130.0,tp,Hollingsworth_2005
TKN0208,9/12/2002,64.643946734,-148.33673759,76.0,1,76.0,130.0,tp,Hollingsworth_2005
TKN0209,9/17/2002,65.023293541,-147.36552379,,0,,130.0,tp,Hollingsworth_2005
TKN0210,9/17/2002,65.022698982,-147.36587793,,0,,130.0,tp,Hollingsworth_2005
TKN0211,9/12/2002,64.644972514,-148.3349874,,0,,130.0,tp,Hollingsworth_2005
TKN0212,9/12/2002,64.67213834,-148.2066172,67.0,1,67.0,130.0,tp,Hollingsworth_2005
TKN0213,9/11/2002,64.948962118,-147.96006175,,0,,130.0,tp,Hollingsworth_2005
TKN0214,9/11/2002,64.948904963,-147.95715941,,0,,130.0,tp,Hollingsworth_2005
TKN0215,9/10/2002,63.439848284,-142.49851613,38.2,1,38.2,130.0,tp,Hollingsworth_2005
TKN0216,9/10/2002,63.440980991,-142.49609472,69.4,1,69.4,130.0,tp,Hollingsworth_2005
TKN0217,9/10/2002,63.644248007,-142.28853911,,0,,130.0,tp,Hollingsworth_2005
TKN0218,9/10/2002,63.657077621,-142.29088494,,0,,130.0,tp,Hollingsworth_2005
TKN0219,8/26/2002,64.717524661,-148.46928667,,0,,130.0,tp,Hollingsworth_2005
TKN0220,8/26/2002,64.764530454,-148.27451603,,0,,130.0,tp,Hollingsworth_2005
TKN0221,9/17/2002,64.962967416,-148.02434283,,0,,130.0,tp,Hollingsworth_2005
TKN0222,9/17/2002,64.974792879,-148.01335647,,0,,130.0,tp,Hollingsworth_2005
TKN0223,9/17/2002,64.969198056,-148.03151688,,0,,130.0,tp,Hollingsworth_2005
TKN0224,9/5/2002,64.956112141,-147.7171805,57.2,1,57.2,130.0,tp,Hollingsworth_2005
TKN0225,9/6/2002,64.928098432,-147.64778884,59.1,1,59.1,130.0,tp,Hollingsworth_2005
TKN0226,9/28/2002,67.314444977,-150.14761386,75.75,1,75.75,130.0,tp,Hollingsworth_2005
TKN0227,9/28/2002,67.312422029,-150.13231154,45.6,1,45.6,130.0,tp,Hollingsworth_2005
TKN0228,9/27/2002,67.340050153,-150.14617659,99.8,1,99.8,130.0,tp,Hollingsworth_2005
TKN0229,9/28/2002,66.313368385,-150.40537185,80.66666666666667,1,80.66666666666667,130.0,tp,Hollingsworth_2005
TKN0230,9/26/2002,65.347398237,-146.66861876,,0,,130.0,tp,Hollingsworth_2005
TKN0231,9/26/2002,65.361699866,-146.6221484,,0,,130.0,tp,Hollingsworth_2005
TKN0232,9/12/2002,64.660923947,-148.38267797,57.8,1,57.8,130.0,tp,Hollingsworth_2005
TKN0233,9/12/2002,64.679840399,-148.2145422,105.0,1,105.0,130.0,tp,Hollingsworth_2005
TKN0234,9/6/2002,64.873832898,-147.83863718,,0,,130.0,tp,Hollingsworth_2005
TKN0235,9/6/2002,64.87455046,-147.92205832,58.8,1,58.8,130.0,tp,Hollingsworth_2005
TKN0236,9/6/2002,64.876492907,-147.91667494,64.7,1,64.7,130.0,tp,Hollingsworth_2005
TKN0237,10/4/2002,64.867119535,-147.87025298,98.875,1,98.875,130.0,tp,Hollingsworth_2005
TKN0238,9/26/2002,65.360250667,-146.66900134,,0,,130.0,tp,Hollingsworth_2005
