site,sample_date,latitude,longitude,transect,measurement_traverse,measurement_order,measurement_purpose,alt,alt_fl
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,1,plot characterization,75,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,2,plot characterization,62,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,3,plot characterization,62,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,4,plot characterization,74,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,5,plot characterization,68,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,6,plot characterization,64,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,7,plot characterization,63,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,8,plot characterization,65,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,9,plot characterization,62,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,10,plot characterization,64,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,11,plot characterization,57,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,12,plot characterization,50,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,13,soil pit focus,64,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,14,soil pit focus,55,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,15,soil pit focus,70,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,16,soil pit focus,52,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,17,soil pit focus,52,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,18,soil pit focus,52,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,19,soil pit focus,55,Soil pit FB-1
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,20,soil pit focus,50,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,21,soil pit focus,53,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,22,soil pit focus,49,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,23,soil pit focus,55,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,24,soil pit focus,73,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,25,soil pit focus,62,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,26,plot characterization,59,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,27,plot characterization,71,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,28,plot characterization,65,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,29,plot characterization,70,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,30,plot characterization,85,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,31,plot characterization,97,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,32,plot characterization,59,NA
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,33,plot characterization,89,water
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,34,plot characterization,91,water
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,35,plot characterization,-9999,water
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,36,plot characterization,-9999,water
FB,2018-08-26,69.812372,-148.766486,N-S,N to S,37,plot characterization,-9999,water
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,1,plot characterization,72,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,2,plot characterization,73,water
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,3,plot characterization,65,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,4,plot characterization,71,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,5,plot characterization,59,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,6,plot characterization,70,water
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,7,plot characterization,58,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,8,plot characterization,53,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,9,plot characterization,66,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,10,plot characterization,59,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,11,plot characterization,50,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,12,plot characterization,69,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,13,soil pit focus,78,NA
FB,2018-08-26,69.812372,-148.766486,E-W,E to W,14,soil pit focus,42,NA
