Site ,Transect,Location,Lat,Long
1,1,0,64.86935,147.86060
1,1,20,64.86948,147.86058
1,2,0,64.86936,147.86046
1,2,20,64.86951,147.86038
1,3,0,64.86935,147.86023
1,3,20,64.86949,147.86014
2,1,0,64.86693,147.85814
2,1,20,64.86709,147.85805
2,2,0,64.86689,147.85788
2,2,20,64.86707,147.85789
2,3,0,64.86686,147.85754
2,3,20,64.86706,147.85756
3,1,0,64.86731,147.85909
3,1,20,64.86745,147.85912
3,2,0,64.86728,147.85876
3,2,20,64.86747,147.85876
3,3,0,64.86729,147.85849
3,3,20,64.86744,147.85841
4,1,0,64.86619,147.85754
4,1,20,64.86639,147.85754
4,2,0,64.86620,147.85725
4,2,20,64.86625,147.85724
4,3,0,64.86616,147.85706
4,3,20,64.86638,147.85695
5,1,0,64.86752,147.78571
5,1,20,64.86767,147.78571
5,2,0,64.86751,147.78543
5,2,20,64.86768,147.78542
5,3,0,64.86745,147.78511
5,3,20,64.86763,147.78505
6,1,0,66.45008,150.61896
6,1,20,66.45025,150.61896
6,2,0,66.45009,150.61864
6,2,20,66.45026,150.61865
6,3,0,66.45007,150.61833
6,3,20,66.45026,150.61832
7,1,0,67.23727,150.16176
7,1,20,67.23744,150.16171
7,2,0,67.23743,150.16133
7,2,20,67.23725,150.16144
7,3,0,67.23722,150.16110
7,3,20,67.23740,150.16106
8,1,0,68.06904,149.58072
8,1,20,68.06921,149.58069
8,2,0,68.06904,149.58043
8,2,20,68.06922,149.58038
8,3,0,68.06903,149.58008
8,3,20,68.06922,149.58005
9,1,0,68.47758,149.50299
9,1,20,68.47775,149.50296
9,2,0,68.47755,149.50270
9,2,20,68.47772,149.50259
9,3,0,68.47753,149.50238
9,3,20,68.47772,149.50224
10,1,0,69.15649,148.83836
10,1,20,69.15668,148.83826
10,2,0,69.15646,148.83812
10,2,20,69.15665,148.83800
10,3,0,69.15646,148.83766
10,3,20,69.15663,148.83757
11,1,0,69.43303,148.67435
11,1,20,69.43318,148.67427
11,2,0,69.43301,148.67400
11,2,20,69.43320,148.67395
11,3,0,69.43306,148.67361
11,3,20,69.43323,148.67361
12,1,0,69.42540,148.69684
12,1,20,69.42558,148.69675
12,2,0,69.42536,148.69646
12,2,20,69.42554,148.69633
12,3,0,69.43302,148.67363
12,3,20,69.42550,148.69603
13,1,0,70.37417,148.55351
13,1,20,70.37434,148.55336
13,2,0,70.37411,148.55324
13,2,20,70.37429,148.55310
13,3,0,70.37405,148.55295
13,3,20,70.37423,148.55267
14,1,0,70.16218,148.46577
14,1,20,70.16235,148.46571
14,2,0,70.16217,148.46539
14,2,20,70.16233,148.46533
14,3,0,70.16214,148.46506
14,3,20,70.16232,148.46492
15,1,0,69.67404,148.72224
15,1,20,69.67422,148.72214
15,2,0,69.67401,148.72185
15,2,20,69.67417,148.72417
15,3,0,69.67398,148.72157
15,3,20,69.67415,148.72139
16,1,0,69.67443,148.71909
16,1,20,69.67464,148.71899
16,2,0,69.67444,148.71869
16,2,20,69.67462,148.71869
16,3,0,69.67442,148.71840
16,3,20,69.67461,148.71831
17,1,0,64.95058,147.61809
17,1,20,64.95075,147.61807
17,2,0,64.95055,147.61778
17,2,20,64.95074,147.61775
17,3,0,64.95054,147.61749
17,3,20,64.95073,147.61740
18,1,0,64.50797,165.29646
18,1,20,64.50816,165.29637
18,2,0,64.50793,165.29620
18,2,20,64.50812,165.29611
18,3,0,64.50789,165.29593
18,3,20,64.50808,165.29581
19,1,0,65.22928,164.82681
19,1,20,65.22961,164.82825
19,2,0,65.22944,164.82794
19,2,20,65.22961,164.82799
19,3,0,65.22946,164.82759
