Site ,Transect,Location,TD,Notes
1,1,0,53,
1,1,1,55,
1,1,2,61,
1,1,3,57,
1,1,4,55,
1,1,5,51,
1,1,6,61,
1,1,7,69,
1,1,8,62,
1,1,9,59,
1,1,10,71,
1,1,11,60,
1,1,12,57,
1,1,13,69,
1,1,14,76,
1,1,15,67,
1,1,16,99,
1,1,17,113,
1,1,18,121,
1,1,19,117,
1,1,20,99,
1,1,21,106,
1,1,22,95,
1,1,23,70,
1,1,24,77,
1,1,25,79,
1,1,26,76,
1,1,27,78,
1,1,28,75,
1,1,29,71,
1,1,30,71,
1,1,31,65,
1,1,32,58,
1,1,33,80,
1,1,34,90,
1,1,35,94,
1,1,36,99,
1,1,37,79,
1,1,38,64,
1,1,39,64,
1,1,40,58,
1,1,41,63,
1,1,42,60,
1,1,43,61,
1,1,44,69,
1,1,45,70,
1,1,46,70,
1,1,47,74,
1,1,48,75,
1,1,49,80,
1,1,50,79,
2,1,0,68,
2,1,1,74,
2,1,2,84,
2,1,3,74,
2,1,4,91,tussock
2,1,5,86,
2,1,6,80,
2,1,7,82,
2,1,8,83,
2,1,9,59,
2,1,10,89,
2,1,11,75,
2,1,12,72,
2,1,13,80,
2,1,14,77,
2,1,15,61,
2,1,16,81,
2,1,17,80,
2,1,18,76,
2,1,19,84,
2,1,20,111,
2,1,21,89,
2,1,22,100,
2,1,23,61,
2,1,24,92,
2,1,25,69,
2,1,26,89,
2,1,27,77,
2,1,28,100,
2,1,29,95,
2,1,30,82,
2,1,31,89,
2,1,32,82,
2,1,33,87,
2,1,34,76,
2,1,35,85,tussock
2,1,36,50,
2,1,37,61,
2,1,38,61,
2,1,39,59,
2,1,40,41,
2,1,41,53,
2,1,42,53,
2,1,43,48,
2,1,44,51,
2,1,45,62,
2,1,46,66,
2,1,47,70,
2,1,48,71,
2,1,49,110,
2,1,50,122,
3,1,0,97,
3,1,1,65,
3,1,2,61,
3,1,3,52,
3,1,4,67,
3,1,5,72,
3,1,6,69,
3,1,7,81,
3,1,8,78,
3,1,9,89,
3,1,10,94,
3,1,11,95,
3,1,12,107,
3,1,13,138,
3,1,14,121,
3,1,15,128,
3,1,16,136,
3,1,17,119,
3,1,18,125,
3,1,19,129,
3,1,20,122,
3,1,21,121,
3,1,22,108,
3,1,23,91,
3,1,24,98,
3,1,25,100,
3,1,26,100,
3,1,27,112,
3,1,28,124,
3,1,29,148,deeper than maximum probe depth of 147 cm
3,1,30,148,deeper than maximum probe depth of 147 cm
3,1,31,148,deeper than maximum probe depth of 147 cm
3,1,32,146,
3,1,33,147,
3,1,34,146,
3,1,35,148,deeper than maximum probe depth of 147 cm
3,1,36,148,deeper than maximum probe depth of 147 cm
3,1,37,126,
3,1,38,94,
3,1,39,74,
3,1,40,90,
3,1,41,96,
3,1,42,87,
3,1,43,84,
3,1,44,84,
3,1,45,81,
3,1,46,73,
3,1,47,78,
3,1,48,75,
3,1,49,66,
3,1,50,77,
4,1,0,57,
4,1,1,62,
4,1,2,55,
4,1,3,53,
4,1,4,52,
4,1,5,50,
4,1,6,50,
4,1,7,55,
4,1,8,56,
4,1,9,63,
4,1,10,70,
4,1,11,62,
4,1,12,51,
4,1,13,61,
4,1,14,58,
4,1,15,47,
4,1,16,42,
4,1,17,42,
4,1,18,54,
4,1,19,52,
4,1,20,46,
4,1,21,46,
4,1,22,52,
4,1,23,51,
4,1,24,48,
4,1,25,52,
4,1,26,51,
4,1,27,49,
4,1,28,51,
4,1,29,62,
4,1,30,57,
4,1,31,63,
4,1,32,58,
4,1,33,64,
4,1,34,44,
4,1,35,44,
4,1,36,53,
4,1,37,58,
4,1,38,45,
4,1,39,54,
4,1,40,56,
4,1,41,58,
4,1,42,56,
4,1,43,55,
4,1,44,55,
4,1,45,52,
4,1,46,58,
4,1,47,57,
4,1,48,64,
4,1,49,50,
4,1,50,51,
5,1,0,34,
5,1,1,47,
5,1,2,47,
5,1,3,40,
5,1,4,43,
5,1,5,59,
5,1,6,63,
5,1,7,52,
5,1,8,45,
5,1,9,44,
5,1,10,42,
5,1,11,43,
5,1,12,45,
5,1,13,38,
5,1,14,48,
5,1,15,37,
5,1,16,43,
5,1,17,46,
5,1,18,45,
5,1,19,54,
5,1,20,56,
5,1,21,51,
5,1,22,34,
5,1,23,39,
5,1,24,52,
5,1,25,55,
5,1,26,56,
5,1,27,62,
5,1,28,54,
5,1,29,45,
5,1,30,41,
5,1,31,43,
5,1,32,43,
5,1,33,42,
5,1,34,39,
5,1,35,43,
5,1,36,39,
5,1,37,46,
5,1,38,51,
5,1,39,45,
5,1,40,44,
5,1,41,39,
5,1,42,51,
5,1,43,38,
5,1,44,34,
5,1,45,47,
5,1,46,49,
5,1,47,58,
5,1,48,60,
5,1,49,64,tussock
5,1,50,55,
6,1,0,49,
6,1,1,52,
6,1,2,53,
6,1,3,58,
6,1,4,48,
6,1,5,54,
