Site ,Transect,Location,TD,Notes
10,1,15,37,
10,1,16,43,
10,1,17,33,
10,1,18,46,
10,1,19,52,
10,1,20,46,
10,1,21,47,
10,1,22,54,
10,1,23,40,
10,1,24,46,
10,1,25,52,
10,1,26,55,
10,1,27,40,
10,1,28,39,
10,1,29,56,
10,1,30,57,
10,1,31,38,
10,1,32,47,
10,1,33,42,
10,1,34,33,
10,1,35,50,
10,1,36,50,
10,1,37,38,
10,1,38,30,
10,1,39,34,
10,1,40,60,
10,1,41,46,
10,1,42,42,
10,1,43,35,
10,1,44,52,
10,1,45,38,
10,1,46,40,
10,1,47,34,
10,1,48,36,
10,1,49,55,
10,1,50,50,
10,1,51,41,
10,1,52,36,
10,1,53,46,
10,1,54,46,
10,1,55,29,
10,1,56,57,
10,1,57,50,
10,1,58,50,
10,1,59,45,
10,1,60,54,
10,1,61,50,
10,1,62,39,
10,1,63,40,
10,1,64,56,
10,1,65,50,
10,1,66,22,
10,1,67,41,
10,1,68,46,
10,1,69,60,
10,1,70,44,
10,1,71,42,
10,1,72,39,
10,1,73,44,
10,1,74,67,
10,1,75,38,
10,1,76,39,
10,1,77,43,
10,1,78,53,
10,1,79,41,
10,1,80,39,
10,1,81,31,
10,1,82,35,
10,1,83,43,
10,1,84,26,
10,1,85,47,
10,1,86,27,
10,1,87,53,
10,1,88,57,
10,1,89,35,
10,1,90,41,
10,1,91,43,
10,1,92,50,
10,1,93,63,
10,1,94,48,
10,1,95,50,
10,1,96,50,
10,1,97,33,
10,1,98,39,
10,1,99,40,
10,1,100,33,
11,1,0,59,
11,1,1,59,
11,1,2,45,
11,1,3,52,
11,1,4,47,
11,1,5,64,
11,1,6,60,
11,1,7,46,
11,1,8,47,
11,1,9,32,
11,1,10,44,
11,1,11,65,
11,1,12,72,
11,1,13,51,
11,1,14,68,
11,1,15,57,
11,1,16,56,
11,1,17,56,
11,1,18,51,
11,1,19,54,
11,1,20,52,
11,1,21,34,
11,1,22,60,
11,1,23,47,
11,1,24,36,
11,1,25,48,
11,1,26,40,
11,1,27,39,
11,1,28,38,
11,1,29,65,
11,1,30,56,
11,1,31,53,
11,1,32,63,
11,1,33,54,
11,1,34,64,
11,1,35,60,
11,1,36,68,
11,1,37,49,
11,1,38,48,
11,1,39,48,
11,1,40,28,
11,1,41,51,
11,1,42,50,
11,1,43,53,
11,1,44,59,
11,1,45,26,
11,1,46,56,
11,1,47,67,
11,1,48,44,
11,1,49,43,
11,1,50,50,
11,1,51,38,
11,1,52,27,
11,1,53,69,
11,1,54,52,
11,1,55,57,
11,1,56,72,
11,1,57,63,
11,1,58,70,
11,1,59,78,
11,1,60,38,
11,1,61,63,
11,1,62,41,
11,1,63,44,
11,1,64,52,
11,1,65,57,
11,1,66,51,
11,1,67,62,
11,1,68,48,
11,1,69,54,
11,1,70,62,
11,1,71,45,
11,1,72,67,
11,1,73,49,
11,1,74,46,
11,1,75,57,
11,1,76,65,
11,1,77,60,
11,1,78,54,
11,1,79,53,
11,1,80,65,
11,1,81,34,
11,1,82,49,
11,1,83,40,
11,1,84,47,
11,1,85,44,
11,1,86,52,
11,1,87,63,
11,1,88,41,
11,1,89,62,
11,1,90,60,
11,1,91,54,
11,1,92,49,
11,1,93,65,
11,1,94,65,
11,1,95,79,
11,1,96,54,
11,1,97,45,
11,1,98,62,
11,1,99,36,
11,1,100,64,
12,1,0,38,
12,1,1,34,
12,1,2,40,
12,1,3,47,
12,1,4,28,
12,1,5,29,
12,1,6,38,
12,1,7,29,
12,1,8,37,
12,1,9,33,
12,1,10,32,
12,1,11,30,
12,1,12,38,
12,1,13,36,
12,1,14,26,
12,1,15,37,
12,1,16,25,
12,1,17,40,
12,1,18,49,
12,1,19,39,
12,1,20,31,
12,1,21,29,
12,1,22,33,
12,1,23,35,
12,1,24,38,
12,1,25,32,
12,1,26,40,
12,1,27,29,
12,1,28,28,
12,1,29,29,
12,1,30,40,
12,1,31,50,
12,1,32,46,
12,1,33,39,
12,1,34,38,
12,1,35,33,
12,1,36,32,
12,1,37,34,
12,1,38,27,
12,1,39,53,
12,1,40,32,
12,1,41,51,
12,1,42,56,
12,1,43,499,
12,1,44,38,
12,1,45,45,
12,1,46,46,
12,1,47,38,
12,1,48,47,
12,1,49,22,
12,1,50,28,
12,1,51,40,
12,1,52,45,
12,1,53,42,
12,1,54,40,
12,1,55,41,
12,1,56,33,
12,1,57,34,
12,1,58,55,
12,1,59,40,
12,1,60,36,
12,1,61,31,
12,1,62,35,
12,1,63,31,
12,1,64,34,
12,1,65,33,
12,1,66,30,
12,1,67,27,
12,1,68,30,
12,1,69,40,
12,1,70,50,
12,1,71,48,
12,1,72,43,
12,1,73,43,
12,1,74,35,
12,1,75,55,
12,1,76,32,
12,1,77,40,
12,1,78,54,
12,1,79,43,
12,1,80,48,
12,1,81,43,
12,1,82,42,
12,1,83,47,
12,1,84,59,
12,1,85,37,
12,1,86,37,
12,1,87,36,
12,1,88,45,
12,1,89,40,
12,1,90,39,
12,1,91,47,
12,1,92,41,
12,1,93,36,
12,1,94,30,
12,1,95,52,
12,1,96,36,
12,1,97,35,
12,1,98,43,
12,1,99,44,
12,1,100,44,
14,1,0,66,
14,1,1,71,
14,1,2,76,
14,1,3,82,
14,1,4,70,
14,1,5,85,
14,1,6,80,
14,1,7,81,
14,1,8,83,
14,1,9,73,
14,1,10,84,
14,1,11,89,
14,1,12,86,
14,1,13,75,
14,1,14,71,
14,1,15,67,
14,1,16,66,
14,1,17,69,
14,1,18,83,
14,1,19,74,
14,1,20,67,
14,1,21,81,
14,1,22,79,
14,1,23,72,
14,1,24,81,
14,1,25,78,
14,1,26,84,
14,1,27,83,
14,1,28,82,
14,1,29,86,
14,1,30,77,
14,1,31,83,
14,1,32,78,
